game_id,match_id,recorded_at,champion,player,rank,kills,deaths,assists,cs,vision,gold,patch,game_date,video_mb,video_filename,youtube_url
567133003,JP1_567133003,,Zyra,くるみかん#123,Challenger,7,4,14,33,38,17809,16.4,2026-02-24 01:43 JST,,,
567154144,JP1_567154144,2026-02-26 01:52,Sylas,aspire#JINBU,,5,3,8,11,31,11864,,,2069,,
567170939,JP1_567170939,,DrMundo,Dopaminw#OUI,Challenger,2,4,11,29,36,12836,16.4,2026-02-24 12:12 JST,,,
567178849,JP1_567178849,,Evelynn,senzawa#JP1,Challenger,18,6,11,24,36,22208,16.4,2026-02-24 13:36 JST,,,
567187637,JP1_567187637,,Zaahen,Dopaminw#OUI,Challenger,7,5,11,14,27,11691,16.4,2026-02-24 14:56 JST,,,
567190789,JP1_567190789,,Zaahen,Dopaminw#OUI,Challenger,11,2,9,45,35,16360,16.4,2026-02-24 15:27 JST,,,
567198843,JP1_567198843,,Nidalee,大小姐驾到#Molly,Challenger,11,3,11,30,32,15444,16.4,2026-02-24 16:37 JST,,,
567206327,JP1_567206327,2026-02-26 08:25,Viego,大小姐驾到#Molly,Challenger,12,5,10,8,18,15365,16.4,2026-02-24 17:23 JST,1296,[JP Challenger JG] Viego 12-5-10 - 大小姐驾到#Molly.mp4,skipped
567214221,JP1_567214221,2026-02-26 01:52,Evelynn,senzawa#JP1,Challenger,10,5,11,10,28,13742,16.4,2026-02-24 18:13 JST,2966,,
567228093,JP1_567228093,2026-02-26 07:54,Zaahen,Dopaminw#OUI,Challenger,5,3,14,31,43,14255,16.4,2026-02-24 19:46 JST,1482,[JP Challenger JG] Zaahen 5-3-14 - Dopaminw#OUI.mp4,https://www.youtube.com/watch?v=W-A_y6rLyK8
567234858,JP1_567234858,2026-02-26 07:20,Sylas,I Am AtomiK#シャドウ,Challenger,11,4,6,26,20,15172,16.4,2026-02-24 20:29 JST,1188,[JP Challenger JG] Sylas 11-4-6 - I Am AtomiK#シャドウ.mp4,https://www.youtube.com/watch?v=our2IKMk5sM
