game_id,match_id,champion,player,kills,deaths,assists,cs,vision,gold,patch,game_date,age_hours
575269381,JP1_575269381,Jax,sigyn#1905,17,4,3,43,30,16245,16.7,2026-04-07 05:57 JST,21.7
575290692,JP1_575290692,Talon,May#0823,14,3,6,44,35,19568,16.7,2026-04-07 12:48 JST,14.8
575305488,JP1_575305488,Nidalee,Chisa#1130,7,1,7,3,10,8729,16.7,2026-04-07 15:18 JST,12.3
575307071,JP1_575307071,Kindred,Stellary#1122,22,3,6,33,21,18283,16.7,2026-04-07 15:34 JST,12.1
575316519,JP1_575316519,Elise,天才剑修#巧克力,8,5,13,16,41,14236,16.7,2026-04-07 17:06 JST,10.5
575323742,JP1_575323742,Shyvana,gaman#7897,19,1,11,46,34,18155,16.7,2026-04-07 18:03 JST,9.6
575340633,JP1_575340633,Rengar,我要验牌#十JQKA,10,2,6,4,13,9062,16.7,2026-04-07 20:03 JST,7.6
575376696,JP1_575376696,JarvanIV,Ankochan#20y,10,4,12,58,43,15700,16.7,2026-04-07 22:30 JST,5.1
575398303,JP1_575398303,Karthus,senzawa#JP1,7,4,7,8,9,8034,16.7,2026-04-07 23:43 JST,3.9
575405785,JP1_575405785,Graves,ONCE#JP1,5,1,7,40,28,12983,16.7,2026-04-08 00:19 JST,3.3
