game_id,match_id,champion,player,kills,deaths,assists,cs,vision,gold,patch,game_date,age_hours
570729407,JP1_570729407,Briar,loselinelosegame#999,10,3,8,14,37,16324,16.5,2026-03-15 01:26 JST,23.7
570745530,JP1_570745530,FiddleSticks,大小姐驾到#Molly,7,2,18,19,51,12883,16.5,2026-03-15 02:49 JST,22.4
570747191,JP1_570747191,LeeSin,Minato aqua#ski,10,3,11,13,36,13666,16.5,2026-03-15 03:01 JST,22.2
570775168,JP1_570775168,Taliyah,定风波#520,4,3,13,27,27,12147,16.5,2026-03-15 09:48 JST,15.4
570774678,JP1_570774678,Gwen,I Am AtomiK#シャドウ,16,8,7,54,25,21158,16.5,2026-03-15 10:01 JST,15.2
570782539,JP1_570782539,Viego,May#0823,12,3,9,37,45,16417,16.5,2026-03-15 11:28 JST,13.7
570783628,JP1_570783628,Karthus,本間心鈴#美しい虚無,6,3,9,33,33,13508,16.5,2026-03-15 11:36 JST,13.6
570792212,JP1_570792212,LeeSin,Ankochan#20y,5,0,4,6,22,9133,16.5,2026-03-15 12:45 JST,12.4
570794275,JP1_570794275,Rengar,Badao1102c#2302,14,10,11,59,40,18519,16.5,2026-03-15 13:06 JST,12.1
570843890,JP1_570843890,Hecarim,CTRLME#77777,8,0,8,21,19,11249,16.5,2026-03-15 17:42 JST,7.5
570911857,JP1_570911857,Kayn,ShadowIsles0#JP1,6,0,5,6,18,10412,16.5,2026-03-15 22:51 JST,2.3
