game_id,match_id,champion,player,kills,deaths,assists,cs,vision,gold,patch,game_date,age_hours
573307610,JP1_573307610,Graves,senzawa#JP1,12,0,13,47,21,16049,16.6,2026-03-28 10:24 JST,19.6
573315973,JP1_573315973,Nocturne,ぴょんしんゲーミング#ぴょんLん,12,3,6,26,15,15064,16.6,2026-03-28 11:45 JST,18.2
573319019,JP1_573319019,RekSai,TNC Too#Kaisa,15,4,16,24,34,17873,16.6,2026-03-28 12:01 JST,17.9
573332314,JP1_573332314,LeeSin,May#0823,14,1,9,32,35,14498,16.6,2026-03-28 13:47 JST,16.2
573356913,JP1_573356913,LeeSin,ONCE#JP1,23,2,11,48,42,22331,16.6,2026-03-28 16:17 JST,13.7
573364483,JP1_573364483,DrMundo,La pesca noce#Euw1,3,7,10,33,57,13439,16.6,2026-03-28 16:53 JST,13.1
573368999,JP1_573368999,Ambessa,ねすてぃー#7474,11,5,5,20,39,16142,16.6,2026-03-28 17:22 JST,12.6
573408321,JP1_573408321,Aatrox,I Am AtomiKSword#シャドウ,7,1,6,4,16,9723,16.6,2026-03-28 20:44 JST,9.2
573410312,JP1_573410312,Aatrox,sigyn#1905,4,8,10,36,30,14579,16.6,2026-03-28 20:55 JST,9.0
573415844,JP1_573415844,Naafiri,Schwarz#neko,5,1,9,6,20,10060,16.6,2026-03-28 21:22 JST,8.6
573422615,JP1_573422615,DrMundo,Dopaminw#OUI,4,3,7,19,36,11569,16.6,2026-03-28 21:47 JST,8.2
573429647,JP1_573429647,Shaco,くるみかん#123,9,1,9,16,26,14155,16.6,2026-03-28 22:10 JST,7.8
573475443,JP1_573475443,Rengar,Badao1102c#2302,9,0,9,38,37,12950,16.6,2026-03-29 00:47 JST,5.2
573489736,JP1_573489736,LeeSin,Chisa#1130,6,1,8,18,25,11978,16.6,2026-03-29 01:46 JST,4.2
573501446,JP1_573501446,Diana,BC EL#JP1,10,1,7,38,25,13438,16.6,2026-03-29 02:48 JST,3.1
