game_id,match_id,champion,player,kills,deaths,assists,cs,vision,gold,patch,game_date,age_hours
568466129,JP1_568466129,Fizz,定风波#520,22,3,7,28,26,20503,16.4,2026-03-02 23:55 JST,21.9
568534574,JP1_568534574,Diana,豊川祥子ノ超超超超時空裁決喵#惹啊啊啊啊,7,1,13,54,37,15717,16.4,2026-03-03 14:14 JST,7.5
568544625,JP1_568544625,Graves,ONCE#JP1,17,2,7,46,35,16229,16.4,2026-03-03 15:39 JST,6.1
568546177,JP1_568546177,Zyra,Fa J#6115,3,5,14,12,36,9878,16.4,2026-03-03 15:51 JST,5.9
568565180,JP1_568565180,Zyra,白鶴仙童#MYZZ,11,3,10,34,40,15418,16.4,2026-03-03 18:14 JST,3.5
568580241,JP1_568580241,Lillia,senzawa#JP1,7,1,13,10,27,13986,16.4,2026-03-03 19:57 JST,1.8
568597315,JP1_568597315,Jayce,我要验牌#十JQKA,5,4,8,14,20,10120,16.4,2026-03-03 21:20 JST,0.4
