game_id,match_id,champion,player,kills,deaths,assists,cs,vision,gold,patch,game_date,age_hours
574104238,JP1_574104238,LeeSin,Chisa#1130,18,1,10,34,21,16436,16.7,2026-04-01 06:43 JST,20.4
574105662,JP1_574105662,LeeSin,ゆにか#1122,8,5,5,20,40,13798,16.7,2026-04-01 07:32 JST,19.6
574111310,JP1_574111310,Pantheon,我纵茕茕孑立 难避漫漫长夜#gg wp,12,0,8,17,24,16202,16.7,2026-04-01 09:49 JST,17.3
574135552,JP1_574135552,JarvanIV,sigyn#1905,7,8,14,17,33,14596,16.7,2026-04-01 14:44 JST,12.4
574151177,JP1_574151177,Graves,BC EL#JP1,13,1,6,26,50,13731,16.7,2026-04-01 16:41 JST,10.4
574154448,JP1_574154448,XinZhao,was good day#JP1,9,3,12,25,31,13154,16.7,2026-04-01 17:11 JST,9.9
574154937,JP1_574154937,Viego,Schwarz#neko,12,3,9,34,36,17731,16.7,2026-04-01 17:23 JST,9.7
574174444,JP1_574174444,LeeSin,ぴょんしんゲーミング#ぴょんLん,15,2,7,17,32,14337,16.7,2026-04-01 19:45 JST,7.4
574175481,JP1_574175481,Shaco,くるみかん#123,11,3,9,12,32,14540,16.7,2026-04-01 19:46 JST,7.3
574181318,JP1_574181318,Graves,may ngo#dog,15,1,2,6,32,14201,16.7,2026-04-01 20:19 JST,6.8
574198500,JP1_574198500,Graves,May#0823,4,1,10,25,24,9934,16.7,2026-04-01 21:37 JST,5.5
574202927,JP1_574202927,LeeSin,天才剑修#巧克力,8,1,1,3,14,7762,16.7,2026-04-01 21:54 JST,5.2
574213559,JP1_574213559,Viego,學無止境#Only,11,1,4,16,47,14223,16.7,2026-04-01 22:30 JST,4.6
574234733,JP1_574234733,Graves,Badao1102c#2302,22,2,9,67,26,18221,16.7,2026-04-01 23:46 JST,3.3
