game_id,match_id,champion,player,kills,deaths,assists,cs,vision,gold,patch,game_date,age_hours
570330850,JP1_570330850,Jayce,白鶴仙童#MYZZ,12,2,9,26,23,16892,16.5,2026-03-13 00:41 JST,23.5
570365303,JP1_570365303,Karthus,本間心鈴#美しい虚無,22,2,10,45,26,19189,16.5,2026-03-13 07:40 JST,16.5
570383000,JP1_570383000,Viego,May#0823,11,1,9,22,36,13390,16.5,2026-03-13 13:04 JST,11.1
570405748,JP1_570405748,Ambessa,Ankochan#20y,4,2,10,19,25,10336,16.5,2026-03-13 16:44 JST,7.5
570420156,JP1_570420156,Lillia,CTRLME#77777,13,0,12,55,21,17992,16.5,2026-03-13 18:28 JST,5.7
570443437,JP1_570443437,LeeSin,Minato aqua#ski,13,0,11,30,18,13257,16.5,2026-03-13 21:00 JST,3.2
570470098,JP1_570470098,FiddleSticks,hedonistic#JP1,3,0,5,9,31,6454,16.5,2026-03-13 22:42 JST,1.5
570474623,JP1_570474623,Rengar,Badao1102c#2302,13,2,8,48,32,14372,16.5,2026-03-13 23:01 JST,1.2
