game_id,match_id,champion,player,kills,deaths,assists,cs,vision,gold,patch,game_date,age_hours
571140576,JP1_571140576,Kayn,ShadowIsles0#JP1,8,1,3,53,23,16808,16.5,2026-03-17 04:45 JST,20.1
571142245,JP1_571142245,LeeSin,BC EL#JP1,18,2,8,64,43,19041,16.5,2026-03-17 05:16 JST,19.6
571157755,JP1_571157755,Nidalee,定风波#520,13,7,9,31,40,16269,16.5,2026-03-17 11:14 JST,13.6
571168368,JP1_571168368,Hecarim,本間心鈴#美しい虚無,8,4,5,11,19,9933,16.5,2026-03-17 13:13 JST,11.6
571171084,JP1_571171084,LeeSin,May#0823,9,1,6,3,25,9170,16.5,2026-03-17 13:40 JST,11.2
571177150,JP1_571177150,JarvanIV,ONCE#JP1,7,0,8,35,25,9720,16.5,2026-03-17 14:41 JST,10.2
571186995,JP1_571186995,Zaahen,ねすてぃー#7777,12,1,16,30,27,16353,16.5,2026-03-17 16:23 JST,8.5
571192606,JP1_571192606,Nidalee,大小姐驾到#Molly,18,3,15,41,34,19518,16.5,2026-03-17 17:04 JST,7.8
571223684,JP1_571223684,Zaahen,ねすてぃー#7474,7,3,12,15,29,13592,16.5,2026-03-17 20:43 JST,4.1
571254682,JP1_571254682,Nidalee,CTRLME#77777,3,1,12,28,30,12483,16.5,2026-03-17 22:41 JST,2.2
