game_id,match_id,champion,player,kills,deaths,assists,cs,vision,gold,patch,game_date,age_hours
571355330,JP1_571355330,Talon,BC EL#JP1,5,1,2,3,25,9333,16.6,2026-03-18 15:17 JST,11.5
571364393,JP1_571364393,JarvanIV,ONCE#JP1,12,5,17,34,37,16703,16.6,2026-03-18 16:26 JST,10.3
571370344,JP1_571370344,Sylas,May#0823,10,1,3,7,13,9320,16.6,2026-03-18 17:08 JST,9.6
571385533,JP1_571385533,Viego,白鶴仙童#MYZZ,11,1,4,11,25,11114,16.6,2026-03-18 18:44 JST,8.0
571420012,JP1_571420012,Karthus,CTRLME#77777,11,0,4,9,14,9713,16.6,2026-03-18 21:23 JST,5.4
571458653,JP1_571458653,Zaahen,Dopaminw#OUI,13,5,11,52,37,18890,16.6,2026-03-18 23:34 JST,3.2
571483502,JP1_571483502,LeeSin,いい夢見てね#おやすみ,14,1,6,22,41,14713,16.6,2026-03-19 01:10 JST,1.6
