game_id,match_id,champion,player,kills,deaths,assists,cs,vision,gold,patch,game_date,age_hours
568265436,JP1_568265436,Viego,大小姐驾到#Molly,11,2,2,15,32,13723,16.4,2026-03-01 22:21 JST,22.6
568296482,JP1_568296482,Talon,CTRLME#77777,6,1,4,34,26,13398,16.4,2026-03-02 00:15 JST,20.7
568323927,JP1_568323927,Diana,BC EL#JP1,6,3,10,40,36,14340,16.4,2026-03-02 03:31 JST,17.4
568367737,JP1_568367737,Evelynn,senzawa#JP1,11,4,8,6,24,13527,16.4,2026-03-02 15:32 JST,5.4
568369608,JP1_568369608,Graves,ONCE#JP1,6,2,6,22,26,9063,16.4,2026-03-02 15:44 JST,5.2
568380194,JP1_568380194,Rengar,我要验牌#十JQKA,10,3,8,31,48,14869,16.4,2026-03-02 17:12 JST,3.8
568401109,JP1_568401109,Zyra,くるみかん#123,8,3,14,37,41,16479,16.4,2026-03-02 19:41 JST,1.3
568407732,JP1_568407732,Taliyah,定风波#520,11,3,10,36,39,16707,16.4,2026-03-02 20:25 JST,0.5
