game_id,match_id,champion,player,kills,deaths,assists,cs,vision,gold,patch,game_date,age_hours
570174344,JP1_570174344,RekSai,ShadowIsles0#JP1,10,1,12,21,39,14467,16.5,2026-03-12 01:59 JST,22.9
570178398,JP1_570178398,Vi,Ankochan#20y,9,1,13,20,34,12336,16.5,2026-03-12 02:27 JST,22.4
570180609,JP1_570180609,Viego,青春禁止#JP1,5,1,8,22,30,12284,16.5,2026-03-12 02:56 JST,21.9
570217329,JP1_570217329,Zaahen,ねすてぃー#7777,6,0,7,13,20,11058,16.5,2026-03-12 13:32 JST,11.3
570220180,JP1_570220180,Viego,ねすてぃー#7474,13,6,10,17,23,15639,16.5,2026-03-12 13:59 JST,10.8
570250043,JP1_570250043,Jax,Father of china#2302,3,1,8,18,33,10897,16.5,2026-03-12 18:17 JST,6.6
570265770,JP1_570265770,Rengar,白鶴仙童#MYZZ,7,1,11,8,18,9512,16.5,2026-03-12 20:15 JST,4.6
570267482,JP1_570267482,Briar,loselinelosegame#999,19,1,6,60,45,20902,16.5,2026-03-12 20:22 JST,4.5
570274141,JP1_570274141,Rengar,Badao1102c#2302,19,12,11,56,52,27715,16.5,2026-03-12 20:51 JST,4.0
570315274,JP1_570315274,Fizz,CTRLME#77777,7,0,7,30,15,10256,16.5,2026-03-12 23:31 JST,1.3
570320594,JP1_570320594,LeeSin,May#0823,4,0,6,19,22,8641,16.5,2026-03-12 23:55 JST,0.9
