game_id,match_id,champion,player,kills,deaths,assists,cs,vision,gold,patch,game_date,age_hours
571721719,JP1_571721719,Nidalee,BC EL#JP1,16,0,13,36,39,15995,16.6,2026-03-20 10:19 JST,22.7
571729112,JP1_571729112,JarvanIV,ONCE#JP1,8,2,11,19,21,13132,16.6,2026-03-20 11:34 JST,21.4
571744755,JP1_571744755,Khazix,Father of china#2302,8,5,6,20,38,15925,16.6,2026-03-20 13:59 JST,19.0
571763378,JP1_571763378,Karthus,senzawa#JP1,17,9,14,20,23,18200,16.6,2026-03-20 15:43 JST,17.3
571767999,JP1_571767999,Nidalee,定风波#520,13,1,10,20,25,15752,16.6,2026-03-20 16:18 JST,16.7
571782250,JP1_571782250,Nocturne,Ankochan#20y,8,1,8,16,26,12014,16.6,2026-03-20 17:27 JST,15.5
571792814,JP1_571792814,LeeSin,May#0823,4,0,2,2,19,6911,16.6,2026-03-20 18:37 JST,14.4
571833750,JP1_571833750,Zyra,くるみかん#123,7,4,19,14,58,16147,16.6,2026-03-20 21:51 JST,11.1
571880316,JP1_571880316,Rengar,Badao1102c#2302,15,1,8,30,17,14438,16.6,2026-03-21 00:32 JST,8.5
571887047,JP1_571887047,Ambessa,白鶴仙童#MYZZ,8,2,9,12,23,14498,16.6,2026-03-21 00:57 JST,8.0
571899689,JP1_571899689,XinZhao,Fa J#6115,11,3,11,24,49,17339,16.6,2026-03-21 02:04 JST,6.9
571904547,JP1_571904547,LeeSin,Chisa#1130,8,3,14,38,50,15897,16.6,2026-03-21 02:32 JST,6.5
571921180,JP1_571921180,Ambessa,いい夢見てね#おやすみ,11,1,9,34,27,14584,16.6,2026-03-21 05:21 JST,3.6
