game_id,match_id,champion,player,kills,deaths,assists,cs,vision,gold,patch,game_date,age_hours
569997958,JP1_569997958,JarvanIV,青春禁止#JP1,10,1,7,15,19,12162,16.5,2026-03-11 02:51 JST,21.5
570037362,JP1_570037362,Talon,May#0823,5,0,6,31,12,8247,16.5,2026-03-11 12:30 JST,11.8
570041260,JP1_570041260,Sylas,773#ナナミ,16,2,10,63,31,19965,16.5,2026-03-11 13:26 JST,10.9
570084624,JP1_570084624,Zaahen,Ankochan#20y,10,3,8,32,27,12790,16.5,2026-03-11 19:14 JST,5.1
570105335,JP1_570105335,Viego,白鶴仙童#MYZZ,12,3,4,21,44,15655,16.5,2026-03-11 21:05 JST,3.3
570104589,JP1_570104589,Khazix,Father of china#2302,7,1,14,28,42,15811,16.5,2026-03-11 21:07 JST,3.2
570136055,JP1_570136055,Nidalee,BC EL#JP1,7,0,3,18,24,7561,16.5,2026-03-11 22:57 JST,1.4
