game_id,match_id,champion,player,kills,deaths,assists,cs,vision,gold,patch,game_date,age_hours
568836114,JP1_568836114,Viego,豊川祥子ノ超超超超時空裁決喵#惹啊啊啊啊,13,6,6,23,17,13868,16.5,2026-03-05 01:47 JST,19.8
568841002,JP1_568841002,Zyra,くるみかん#123,4,2,8,28,40,13829,16.5,2026-03-05 02:24 JST,19.2
568847035,JP1_568847035,Rengar,我要验牌#十JQKA,8,11,10,91,41,16586,16.5,2026-03-05 03:26 JST,18.2
568902645,JP1_568902645,RekSai,白鶴仙童#MYZZ,7,0,7,12,23,8073,16.5,2026-03-05 16:35 JST,5.0
568902982,JP1_568902982,Viego,ねすてぃー#7474,6,4,10,18,40,14474,16.5,2026-03-05 16:43 JST,4.9
568921379,JP1_568921379,Evelynn,senzawa#JP1,6,0,7,15,17,9664,16.5,2026-03-05 18:39 JST,3.0
568924683,JP1_568924683,Zaahen,Dopaminw#OUI,10,5,13,47,43,14654,16.5,2026-03-05 19:06 JST,2.5
