game_id,match_id,champion,player,kills,deaths,assists,cs,vision,gold,patch,game_date,age_hours
571511805,JP1_571511805,Graves,senzawa#JP1,9,1,3,44,30,14576,16.6,2026-03-19 05:50 JST,22.1
571538092,JP1_571538092,Zaahen,Dopaminw#OUI,4,0,3,3,17,6813,16.6,2026-03-19 12:55 JST,15.0
571545900,JP1_571545900,Taliyah,定风波#520,14,5,8,30,31,16259,16.6,2026-03-19 14:36 JST,13.3
571549870,JP1_571549870,Ambessa,いい夢見てね#おやすみ,10,0,7,26,37,15727,16.6,2026-03-19 15:08 JST,12.8
571561968,JP1_571561968,Nidalee,BC EL#JP1,15,3,14,27,30,16476,16.6,2026-03-19 16:42 JST,11.2
571569851,JP1_571569851,Graves,Father of china#2302,17,2,10,119,68,25079,16.6,2026-03-19 17:37 JST,10.3
571574059,JP1_571574059,JarvanIV,ONCE#JP1,7,1,10,27,34,11633,16.6,2026-03-19 17:52 JST,10.0
571603544,JP1_571603544,XinZhao,Chisa#1130,7,0,14,22,36,13872,16.6,2026-03-19 21:01 JST,6.9
571620777,JP1_571620777,Khazix,Badao1102c#2302,10,3,5,49,24,17645,16.6,2026-03-19 22:06 JST,5.8
571622559,JP1_571622559,Jayce,May#0823,11,2,11,43,79,19364,16.6,2026-03-19 22:09 JST,5.8
571628830,JP1_571628830,Graves,ジェンジーグローバルアカデミー#Foe,17,2,6,45,19,17750,16.6,2026-03-19 22:32 JST,5.4
571663116,JP1_571663116,Viego,CTRLME#77777,8,1,3,14,15,9679,16.6,2026-03-20 00:30 JST,3.4
571667876,JP1_571667876,Nidalee,Ankochan#20y,8,1,2,9,11,8257,16.6,2026-03-20 00:54 JST,3.0
