game_id,match_id,champion,player,kills,deaths,assists,cs,vision,gold,patch,game_date,age_hours
572527475,JP1_572527475,Viego,sigyn#1905,21,1,6,27,34,16857,16.6,2026-03-24 04:17 JST,23.5
572537921,JP1_572537921,Rengar,我要验牌#十JQKA,14,7,7,60,51,20427,16.6,2026-03-24 08:07 JST,19.7
572556307,JP1_572556307,Naafiri,I Am AtomiK#シャドウ,15,11,14,44,34,25091,16.6,2026-03-24 12:45 JST,15.1
572570437,JP1_572570437,Rengar,Badao1102c#2302,13,3,17,25,20,14867,16.6,2026-03-24 15:04 JST,12.8
572576861,JP1_572576861,Graves,ONCE#JP1,18,3,7,80,73,23570,16.6,2026-03-24 16:03 JST,11.8
572582935,JP1_572582935,JarvanIV,BC EL#JP1,11,0,21,21,33,14393,16.6,2026-03-24 16:52 JST,11.0
572585454,JP1_572585454,RekSai,TNC Too#Kaisa,6,4,14,54,53,15448,16.6,2026-03-24 17:03 JST,10.8
572584954,JP1_572584954,Vi,ねすてぃー#7474,10,4,6,22,27,15840,16.6,2026-03-24 17:09 JST,10.7
572588417,JP1_572588417,Graves,ゆにか#1122,19,1,8,56,50,19576,16.6,2026-03-24 17:25 JST,10.4
572589312,JP1_572589312,LeeSin,ぴょんしんゲーミング#ぴょんLん,10,2,9,23,25,12000,16.6,2026-03-24 17:29 JST,10.4
572590921,JP1_572590921,Talon,May#0823,13,1,7,13,40,17264,16.6,2026-03-24 17:51 JST,10.0
572600747,JP1_572600747,Viego,白鶴仙童#MYZZ,16,1,6,11,21,13308,16.6,2026-03-24 18:54 JST,8.9
572611142,JP1_572611142,Aatrox,La pesca noce#Euw1,4,1,13,17,41,12170,16.6,2026-03-24 19:53 JST,8.0
572661238,JP1_572661238,LeeSin,Ankochan#20y,9,2,11,20,22,13265,16.6,2026-03-24 23:04 JST,4.8
572701288,JP1_572701288,RekSai,Chisa#1130,14,2,14,13,20,16583,16.6,2026-03-25 02:15 JST,1.6
572700881,JP1_572700881,Naafiri,Schwarz#neko,18,2,7,44,27,18518,16.6,2026-03-25 02:18 JST,1.5
