game_id,match_id,champion,player,kills,deaths,assists,cs,vision,gold,patch,game_date,age_hours
573545921,JP1_573545921,Graves,I Am AtomiKSword#シャドウ,16,2,7,61,22,17617,16.6,2026-03-29 12:16 JST,23.8
573567991,JP1_573567991,Nidalee,Ankochan#20y,1,0,6,8,13,6382,16.6,2026-03-29 14:47 JST,21.3
573583642,JP1_573583642,LeeSin,ONCE#JP1,4,3,14,13,35,10931,16.6,2026-03-29 16:10 JST,19.9
573592815,JP1_573592815,RekSai,TNC Too#Kaisa,15,3,10,20,25,16116,16.6,2026-03-29 16:56 JST,19.1
573634064,JP1_573634064,Vi,sigyn#1905,7,2,17,4,31,13065,16.6,2026-03-29 20:20 JST,15.7
573637119,JP1_573637119,Naafiri,I Am AtomiK#シャドウ,13,6,11,19,23,15160,16.6,2026-03-29 20:33 JST,15.5
573719319,JP1_573719319,LeeSin,Chisa#1130,9,0,2,21,16,9409,16.6,2026-03-30 02:29 JST,9.6
573719993,JP1_573719993,LeeSin,ぴょんしんゲーミング#ぴょんLん,6,2,10,18,7,8283,16.6,2026-03-30 02:47 JST,9.3
573741913,JP1_573741913,Naafiri,白鶴仙童#MYZZ,9,2,15,7,21,13182,16.6,2026-03-30 09:53 JST,2.2
