game_id,match_id,champion,player,kills,deaths,assists,cs,vision,gold,patch,game_date,age_hours
569640503,JP1_569640503,Qiyana,773#ナナミ,12,0,3,27,16,12324,16.5,2026-03-09 02:17 JST,22.0
569699842,JP1_569699842,Talon,I Am AtomiK#シャドウ,9,10,10,41,39,17174,16.5,2026-03-09 16:32 JST,7.7
569717862,JP1_569717862,Skarner,gaman#7897,4,0,7,15,52,10603,16.5,2026-03-09 18:51 JST,5.4
569735599,JP1_569735599,Zaahen,Ankochan#20y,8,4,17,62,52,18864,16.5,2026-03-09 20:37 JST,3.6
569742295,JP1_569742295,LeeSin,May#0823,18,0,8,30,34,14400,16.5,2026-03-09 21:05 JST,3.2
569763939,JP1_569763939,Taliyah,定风波#520,19,3,7,48,35,18593,16.5,2026-03-09 22:30 JST,1.8
