game_id,match_id,champion,player,kills,deaths,assists,cs,vision,gold,patch,game_date,age_hours
572302094,JP1_572302094,Zed,Schwarz#neko,17,5,7,29,30,17839,16.6,2026-03-22 23:34 JST,23.7
572322796,JP1_572322796,Khazix,sigyn#1905,5,1,5,4,14,6847,16.6,2026-03-23 01:10 JST,22.1
572331339,JP1_572331339,Talon,BC EL#JP1,7,1,11,27,54,17518,16.6,2026-03-23 01:59 JST,21.3
572347566,JP1_572347566,Zaahen,ねすてぃー#7474,6,0,1,15,19,7801,16.6,2026-03-23 05:36 JST,17.7
572353252,JP1_572353252,Ambessa,いい夢見てね#おやすみ,12,1,9,15,17,13797,16.6,2026-03-23 07:44 JST,15.6
572369924,JP1_572369924,Talon,May#0823,14,1,6,20,28,17998,16.6,2026-03-23 12:29 JST,10.8
572368944,JP1_572368944,Graves,ONCE#JP1,9,3,9,46,46,16807,16.6,2026-03-23 12:29 JST,10.8
572371867,JP1_572371867,RekSai,ぴょんしんゲーミング#ぴょんLん,8,3,12,18,8,10449,16.6,2026-03-23 13:02 JST,10.3
572385768,JP1_572385768,Viego,Father of china#2302,23,9,8,54,34,22780,16.6,2026-03-23 15:05 JST,8.2
572388430,JP1_572388430,LeeSin,Ankochan#20y,18,4,18,20,49,18797,16.6,2026-03-23 15:23 JST,7.9
572397841,JP1_572397841,LeeSin,ゆにか#1122,5,2,4,6,18,7949,16.6,2026-03-23 16:43 JST,6.6
572402803,JP1_572402803,Naafiri,白鶴仙童#MYZZ,10,1,9,29,30,14549,16.6,2026-03-23 17:23 JST,5.9
572406501,JP1_572406501,Graves,Chisa#1130,13,0,8,28,11,15207,16.6,2026-03-23 17:43 JST,5.6
572410155,JP1_572410155,Naafiri,I Am AtomiKSword#シャドウ,6,2,8,15,30,12075,16.6,2026-03-23 18:10 JST,5.1
572447239,JP1_572447239,Karthus,ももです#JP2,10,1,10,35,25,11392,16.6,2026-03-23 21:29 JST,1.8
572463939,JP1_572463939,LeeSin,ジェンジーグローバルアカデミー#Foe,8,0,9,21,23,10336,16.6,2026-03-23 22:31 JST,0.8
