game_id,match_id,champion,player,kills,deaths,assists,cs,vision,gold,patch,game_date,age_hours
572903774,JP1_572903774,JarvanIV,sigyn#1905,13,1,11,11,31,12320,16.6,2026-03-26 04:26 JST,21.9
572918502,JP1_572918502,Ambessa,ぴょんしんゲーミング#ぴょんLん,13,2,3,21,13,12981,16.6,2026-03-26 09:52 JST,16.4
572931146,JP1_572931146,Talon,May#0823,18,1,7,37,41,19111,16.6,2026-03-26 12:53 JST,13.4
572942644,JP1_572942644,LeeSin,ONCE#JP1,10,1,3,17,12,8513,16.6,2026-03-26 14:35 JST,11.7
572956435,JP1_572956435,Evelynn,senzawa#JP1,9,0,4,6,14,8096,16.6,2026-03-26 16:31 JST,9.8
572957378,JP1_572957378,Graves,ゆにか#1122,9,3,10,48,34,13011,16.6,2026-03-26 16:34 JST,9.7
572957927,JP1_572957927,JarvanIV,Ankochan#20y,9,1,11,10,26,11197,16.6,2026-03-26 16:47 JST,9.5
572961221,JP1_572961221,Ambessa,ねすてぃー#7777,18,3,7,42,33,16173,16.6,2026-03-26 17:00 JST,9.3
572961688,JP1_572961688,Talon,BC EL#JP1,15,3,8,45,38,13373,16.6,2026-03-26 17:11 JST,9.1
572964501,JP1_572964501,Ambessa,ももです#JP2,9,3,10,27,36,14043,16.6,2026-03-26 17:28 JST,8.8
572973529,JP1_572973529,Aatrox,La pesca noce#Euw1,8,3,6,10,28,9941,16.6,2026-03-26 18:31 JST,7.8
572980888,JP1_572980888,LeeSin,Chisa#1130,15,0,11,17,31,15930,16.6,2026-03-26 19:22 JST,7.0
572994380,JP1_572994380,Rengar,我要验牌#十JQKA,9,3,9,20,41,13893,16.6,2026-03-26 20:32 JST,5.8
573008507,JP1_573008507,Graves,Fa J#6115,15,6,14,87,71,21152,16.6,2026-03-26 21:30 JST,4.8
573015321,JP1_573015321,Ambessa,I Am AtomiKSword#シャドウ,11,3,10,17,30,17267,16.6,2026-03-26 21:56 JST,4.4
573030311,JP1_573030311,Zed,Schwarz#neko,10,8,19,15,45,17518,16.6,2026-03-26 22:46 JST,3.5
573069188,JP1_573069188,Karthus,必杀技#小凌宝,10,6,28,63,26,19492,16.6,2026-03-27 01:20 JST,1.0
