game_id,match_id,champion,player,kills,deaths,assists,cs,vision,gold,patch,game_date,age_hours
569468413,JP1_569468413,Taliyah,定风波#520,6,0,3,4,18,7156,16.5,2026-03-08 11:33 JST,14.7
569471698,JP1_569471698,LeeSin,May#0823,6,1,9,3,15,8941,16.5,2026-03-08 12:08 JST,14.1
569500777,JP1_569500777,XinZhao,Wsavh#JP1,12,2,11,45,44,16783,16.5,2026-03-08 15:24 JST,10.9
569501945,JP1_569501945,Rengar,Badao1102c#2302,11,4,5,27,44,15173,16.5,2026-03-08 15:33 JST,10.7
569544477,JP1_569544477,Ambessa,I Am AtomiK#シャドウ,14,2,9,13,19,16159,16.5,2026-03-08 19:09 JST,7.1
569560176,JP1_569560176,Karthus,本間心鈴#美しい虚無,13,5,10,13,14,14573,16.5,2026-03-08 20:27 JST,5.8
569568981,JP1_569568981,XinZhao,ねすてぃー#7474,14,3,10,11,19,14922,16.5,2026-03-08 21:13 JST,5.0
569583532,JP1_569583532,JarvanIV,Ankochan#20y,9,6,15,67,51,18639,16.5,2026-03-08 22:05 JST,4.2
569598005,JP1_569598005,Zyra,くるみかん#123,1,0,4,1,12,6538,16.5,2026-03-08 22:51 JST,3.4
