game_id,match_id,champion,player,kills,deaths,assists,cs,vision,gold,patch,game_date,age_hours
569809142,JP1_569809142,JarvanIV,BC EL#JP1,3,0,13,34,44,12606,16.5,2026-03-10 01:39 JST,23.5
569812259,JP1_569812259,Taliyah,Ankochan#20y,6,1,12,34,40,12612,16.5,2026-03-10 02:02 JST,23.1
569823819,JP1_569823819,Karthus,本間心鈴#美しい虚無,17,8,14,54,47,21714,16.5,2026-03-10 04:35 JST,20.5
569829637,JP1_569829637,Gwen,ShadowIsles0#JP1,2,1,5,3,19,7633,16.5,2026-03-10 06:23 JST,18.7
569867648,JP1_569867648,Ambessa,773#ナナミ,14,8,5,36,27,18224,16.5,2026-03-10 15:27 JST,9.7
569874697,JP1_569874697,Taliyah,定风波#520,6,5,9,26,51,15306,16.5,2026-03-10 16:27 JST,8.7
569946168,JP1_569946168,Skarner,gaman#7897,5,1,15,14,25,10875,16.5,2026-03-10 22:37 JST,2.5
