rank,tier,player,role,lp,wins,losses,win_rate
1,Challenger,GukBo#2004,MID,2029,173,70,71.2%
2,Challenger,senzawa#JP1,JUNGLE,2020,172,123,58.3%
3,Challenger,さくら#9090,MID,2013,224,170,56.9%
4,Challenger,AKALIKING#本体はゼド,MID,2013,135,88,60.5%
5,Challenger,伏魔御廚子#Gimi,ADC,1913,215,125,63.2%
6,Challenger,sign#520am,SUP,1884,216,137,61.2%
7,Challenger,Chisa#1130,JUNGLE,1819,140,72,66.0%
8,Challenger,いい夢見てね#おやすみ,JUNGLE,1790,159,72,68.8%
9,Challenger,鉄砲玉#JP1,TOP,1749,189,148,56.1%
10,Challenger,Mokurooo#NKG,MID,1743,143,108,57.0%
11,Challenger,jisoo#bp777,ADC,1714,161,99,61.9%
12,Challenger,jpMVzC#1582,SUP,1711,208,123,62.8%
13,Challenger,天才剑修#巧克力,JUNGLE,1676,178,131,57.6%
14,Challenger,學無止境#Only,JUNGLE,1667,133,74,64.3%
15,Challenger,BC EL#JP1,JUNGLE,1654,141,96,59.5%
16,Challenger,かなう#burin,TOP,1606,168,132,56.0%
17,Challenger,Recap#125,MID,1593,265,223,54.3%
18,Challenger,May#0823,JUNGLE,1575,279,271,50.7%
19,Challenger,hetel fanboy#JP1,TOP,1541,229,150,60.4%
20,Challenger,RuneFactoryが大好きね#BlauR,ADC,1525,157,107,59.5%
21,Challenger,白鶴仙童#MYZZ,JUNGLE,1503,202,134,60.1%
22,Challenger,黄色のヨッシー#JP1,TOP,1490,177,150,54.1%
23,Challenger,ytzz#2426,TOP,1467,136,100,57.6%
24,Challenger,ONCE#JP1,JUNGLE,1444,169,121,58.3%
25,Challenger,グレイラースＹ#JP1,SUP,1421,370,364,50.4%
26,Challenger,Father of china#2302,TOP,1414,192,184,51.1%
27,Challenger,TopK1ng#mnt,TOP,1404,98,62,61.3%
28,Challenger,Ankochan#20y,JUNGLE,1403,134,106,55.8%
29,Challenger,狛枝へビスケット#6245,MID,1368,175,119,59.5%
30,Challenger,raku#1205,ADC,1363,150,117,56.2%
31,Challenger,I Am AtomiK#シャドウ,JUNGLE,1361,261,247,51.4%
32,Challenger,Pheonix#VG45,TOP,1355,153,99,60.7%
33,Challenger,akaros#そらか,SUP,1354,119,87,57.8%
34,Challenger,無愛想#可愛くない,TOP,1351,127,80,61.4%
35,Challenger,しゅんた1106#JP1,MID,1347,217,222,49.4%
36,Challenger,ねすてぃー#7474,JUNGLE,1338,219,198,52.5%
37,Challenger,always#inori,SUP,1335,121,90,57.3%
38,Challenger,Veritasin#Xeb,TOP,1334,117,70,62.6%
39,Challenger,Tele#JP1,ADC,1332,212,162,56.7%
40,Challenger,ブラキオサウルス#dino,TOP,1332,144,109,56.9%
41,Challenger,ゆにか#1122,JUNGLE,1332,111,86,56.3%
42,Challenger,La pesca noce#Euw1,JUNGLE,1328,99,66,60.0%
43,Grandmaster,Badao1102c#2302,JUNGLE,1320,134,105,56.1%
44,Challenger,ユズキ#宇  う,ADC,1316,125,47,72.7%
45,Challenger,GraceEye#DMC神台,TOP,1316,103,66,60.9%
46,Challenger,sYuuus#JP1,TOP,1313,145,121,54.5%
47,Challenger,Clinch#JP2,SUP,1312,267,254,51.2%
48,Challenger,rehcra#xxxx,ADC,1312,96,14,87.3%
49,Challenger,鳥劇場浅草橋店#umai,ADC,1301,102,74,58.0%
50,Challenger,Enty#ENTP1,SUP,1300,224,186,54.6%
51,Challenger,Fa J#6115,SUP,1300,91,46,66.4%
52,Grandmaster,くるみかん#123,JUNGLE,1288,241,205,54.0%
53,Grandmaster,最后一次恶鬼缠身#1002,SUP,1276,171,100,63.1%
54,Grandmaster,Lee#JP2,ADC,1270,108,85,56.0%
55,Grandmaster,ねすてぃー#7777,JUNGLE,1266,117,90,56.5%
56,Grandmaster,hourousummer#325,ADC,1260,118,93,55.9%
57,Grandmaster,لا جدوى من ترجمت#0000,TOP,1232,98,69,58.7%
58,Grandmaster,ShaZam#0059,SUP,1229,114,83,57.9%
59,Grandmaster,aspire#JINBU,MID,1226,129,104,55.4%
60,Grandmaster,泳ぎたいたい焼き#JP1,SUP,1218,109,85,56.2%
61,Grandmaster,やなみあんな#負けヒロ,MID,1216,228,190,54.5%
62,Grandmaster,Dopaminw#OUI,JUNGLE,1213,202,165,55.0%
63,Grandmaster,ぴょんしんゲーミング#ぴょんLん,JUNGLE,1205,231,232,49.9%
