rank,tier,player,role,lp,wins,losses,win_rate
1,Challenger,AKALIKING#本体はゼド,MID,1634,109,64,63.0%
2,Challenger,senzawa#JP1,JUNGLE,1580,143,100,58.8%
3,Challenger,sign#520am,SUP,1544,200,127,61.2%
4,Challenger,鉄砲玉#JP1,TOP,1526,165,120,57.9%
5,Challenger,Mokurooo#NKG,ADC,1411,121,79,60.5%
6,Challenger,jisoo#bp777,TOP,1384,143,85,62.7%
7,Challenger,天狐ハク#戀慕之情,MID,1367,156,97,61.7%
8,Challenger,無愛想#可愛くない,TOP,1337,122,72,62.9%
9,Challenger,jpMVzC#1582,SUP,1330,174,93,65.2%
10,Challenger,天才剑修#巧克力,SUP,1326,133,81,62.1%
11,Challenger,ytzz#2426,TOP,1287,119,87,57.8%
12,Challenger,hetel fanboy#JP1,TOP,1243,205,130,61.2%
13,Challenger,黄色のヨッシー#JP1,TOP,1232,142,109,56.6%
14,Challenger,白鶴仙童#MYZZ,JUNGLE,1217,176,108,62.0%
15,Challenger,akaros#そらか,SUP,1215,101,63,61.6%
16,Challenger,RuneFactoryが大好きね#BlauR,ADC,1210,136,91,59.9%
17,Challenger,さくら#9090,MID,1209,153,116,56.9%
18,Challenger,Recap#125,MID,1207,211,166,56.0%
19,Challenger,かなう#burin,TOP,1206,150,125,54.5%
20,Challenger,學無止境#Only,MID,1191,100,49,67.1%
21,Challenger,I Am AtomiK#シャドウ,TOP,1185,235,213,52.5%
22,Challenger,BC EL#JP1,JUNGLE,1156,91,51,64.1%
23,Challenger,定风波#520,JUNGLE,1147,207,171,54.8%
24,Challenger,ユズキ#宇  う,ADC,1143,111,34,76.6%
25,Challenger,TwitchShoDesu#よいしょ,SUP,1141,192,132,59.3%
26,Challenger,TopK1ng#mnt,TOP,1141,82,51,61.7%
27,Challenger,グレイラースＹ#JP1,SUP,1139,308,294,51.2%
28,Challenger,,MID,1134,91,50,64.5%
29,Challenger,,SUP,1128,209,170,55.1%
30,Challenger,,ADC,1122,90,60,60.0%
31,Challenger,,JUNGLE,1108,105,78,57.4%
32,Challenger,,ADC,1101,118,85,58.1%
33,Challenger,,ADC,1100,219,142,60.7%
34,Challenger,,JUNGLE,1100,192,157,55.0%
35,Challenger,,ADC,1090,189,177,51.6%
36,Challenger,,JUNGLE,1087,231,198,53.8%
37,Challenger,,ADC,1086,193,147,56.8%
38,Challenger,,SUP,1077,106,79,57.3%
39,Challenger,,JUNGLE,1076,166,159,51.1%
40,Challenger,,MID,1074,147,101,59.3%
41,Challenger,,ADC,1074,91,69,56.9%
