rank,tier,player,role,lp,wins,losses,win_rate
1,Challenger,AKALIKING#本体はゼド,MID,1593,99,57,63.5%
2,Challenger,sign#520am,SUP,1559,190,117,61.9%
3,Challenger,鉄砲玉#JP1,TOP,1509,153,112,57.7%
4,Challenger,Mokurooo#NKG,ADC,1464,114,68,62.6%
5,Challenger,無愛想#可愛くない,TOP,1448,118,63,65.2%
6,Challenger,senzawa#JP1,JUNGLE,1400,112,82,57.7%
7,Challenger,天狐ハク#戀慕之情,MID,1389,156,95,62.2%
8,Challenger,Asuki#JP1,ADC,1314,130,96,57.5%
9,Challenger,,TOP,1314,102,71,59.0%
10,Challenger,,MID,1300,147,107,57.9%
11,Challenger,,ADC,1266,111,80,58.1%
12,Challenger,,TOP,1217,125,52,70.6%
13,Challenger,,MID,1215,171,128,57.2%
14,Challenger,,JUNGLE,1190,175,137,56.1%
15,Challenger,,ADC,1178,81,48,62.8%
16,Challenger,,JUNGLE,1166,202,181,52.7%
17,Challenger,,ADC,1148,128,85,60.1%
18,Challenger,,SUP,1142,88,51,63.3%
19,Challenger,,ADC,1134,111,93,54.4%
20,Challenger,,SUP,1132,113,70,61.7%
21,Challenger,,JUNGLE,1126,225,190,54.2%
22,Challenger,,JUNGLE,1117,230,190,54.8%
23,Challenger,,ADC,1109,209,130,61.7%
24,Challenger,,ADC,1107,111,67,62.4%
25,Challenger,,TOP,1093,74,45,62.2%
26,Challenger,,TOP,1090,119,90,56.9%
27,Challenger,,JUNGLE,1085,189,154,55.1%
28,Challenger,,MID,1085,83,45,64.8%
29,Challenger,,SUP,1069,203,165,55.2%
30,Challenger,,JUNGLE,1047,97,68,58.8%
31,Challenger,,TOP,1046,138,136,50.4%
32,Challenger,,ADC,1046,100,74,57.5%
33,Challenger,,UNKNOWN,1043,260,255,50.5%
34,Challenger,,ADC,1043,99,72,57.9%
35,Challenger,,SUP,1042,134,103,56.5%
36,Challenger,,SUP,1042,85,54,61.2%
37,Challenger,,MID,1039,141,97,59.2%
38,Challenger,,ADC,1037,84,63,57.1%
39,Challenger,,JUNGLE,1028,161,104,60.8%
40,Challenger,,MID,1028,82,39,67.8%
41,Grandmaster,,TOP,1026,124,81,60.5%
42,Challenger,,JUNGLE,1022,119,67,64.0%
43,Challenger,,JUNGLE,1021,80,63,55.9%
44,Challenger,,TOP,1017,79,59,57.2%
45,Challenger,,MID,1016,107,79,57.5%
46,Challenger,,UNKNOWN,1013,117,51,69.6%
47,Challenger,,ADC,1012,72,44,62.1%
48,Challenger,,MID,1011,85,59,59.0%
49,Challenger,,ADC,1010,135,101,57.2%
50,Challenger,,JUNGLE,1008,110,96,53.4%
51,Grandmaster,,SUP,1008,138,113,55.0%
52,Grandmaster,,SUP,1002,88,55,61.5%
53,Grandmaster,,JUNGLE,999,132,105,55.7%
54,Grandmaster,,MID,993,111,88,55.8%
55,Grandmaster,最后一次恶鬼缠身#1002,SUP,985,148,85,63.5%
56,Grandmaster,poppyking#1212,TOP,980,60,35,63.2%
57,Grandmaster,NMIXX#RANK1,ADC,974,102,78,56.7%
58,Grandmaster,MayR#モーティス,ADC,971,85,62,57.8%
59,Grandmaster,ユズキ#宇  う,ADC,960,101,33,75.4%
60,Grandmaster,Philia#sama,SUP,952,100,68,59.5%
61,Grandmaster,泳ぎたいたい焼き#JP1,SUP,950,78,57,57.8%
62,Grandmaster,負けない人生負けない気持ち#061i,ADC,946,180,175,50.7%
63,Grandmaster,773#ナナミ,JUNGLE,941,57,25,69.5%
64,Grandmaster,PiiP#7044,ADC,940,81,65,55.5%
65,Grandmaster,raku#1205,ADC,939,96,72,57.1%
66,Grandmaster,Yuhi#045,ADC,936,91,73,55.5%
67,Grandmaster,秋 夏#Dyss,ADC,922,113,94,54.6%
68,Grandmaster,ONCE#JP1,JUNGLE,920,110,69,61.5%
69,Grandmaster,豊川祥子ノ超超超超時空裁決喵#惹啊啊啊啊,JUNGLE,905,120,103,53.8%
70,Grandmaster,セレニティ#JP2,SUP,904,96,77,55.5%
71,Grandmaster,BC EL#JP1,JUNGLE,902,69,43,61.6%
72,Grandmaster,ShoeBlLL#tw2,MID,901,88,56,61.1%
73,Grandmaster,hourousummer#325,ADC,899,94,76,55.3%
74,Challenger,Singularity#1915,UNKNOWN,895,182,151,54.7%
75,Grandmaster,ScriniK#JP1,SUP,892,151,124,54.9%
76,Grandmaster,4399赛尔号#奥特曼,JUNGLE,888,130,115,53.1%
77,Grandmaster,グレイラースＹ#JP1,SUP,885,226,220,50.7%
78,Grandmaster,ねすてぃー#7474,JUNGLE,879,170,157,52.0%
79,Grandmaster,I Am AtomiKSword#シャドウ,JUNGLE,872,187,137,57.7%
80,Grandmaster,Wsavh#JP1,JUNGLE,870,59,35,62.8%
81,Grandmaster,CTRLME#77777,JUNGLE,860,148,119,55.4%
82,Grandmaster,chico#JP1,SUP,858,76,57,57.1%
83,Grandmaster,coivd#zGNoR,MID,858,63,36,63.6%
84,Grandmaster,ブラキオサウルス#dino,TOP,857,106,80,57.0%
85,Grandmaster,GOD of 笹村#ONZED,MID,854,69,49,58.5%
86,Grandmaster,純 愛#1124,ADC,850,109,96,53.2%
87,Grandmaster,Scarlet#JP0,SUP,844,76,43,63.9%
88,Grandmaster,suzukamui#jp2,SUP,844,62,43,59.0%
89,Grandmaster,Milan#bb6,ADC,839,145,112,56.4%
90,Grandmaster,눈건강비타민A#0103,JUNGLE,838,93,73,56.0%
91,Grandmaster,Say less#fearr,MID,834,84,81,50.9%
92,Grandmaster,葳信dianayqc#PWdd,MID,829,102,85,54.5%
93,Grandmaster,jpfxLO#9343,TOP,828,109,50,68.6%
94,Grandmaster,我要验牌#十JQKA,JUNGLE,825,330,289,53.3%
95,Grandmaster,7 9#JP1,TOP,824,183,151,54.8%
96,Grandmaster,La pesca noce#Euw1,ADC,820,59,32,64.8%
97,Grandmaster,CG Qoo#JP1,ADC,816,69,49,58.5%
98,Grandmaster,LUNA ALBA LI XV#ALBUS,MID,815,116,89,56.6%
99,Grandmaster,ゆにか#1122,JUNGLE,815,73,57,56.2%
100,Grandmaster,初心者#0105,TOP,814,151,123,55.1%
101,Grandmaster,一騎討#riven,,813,100,77,56.5%
102,Grandmaster,Tako Yankee#1112,SUP,810,132,118,52.8%
103,Grandmaster,ふわしゃり#JP1,,809,63,43,59.4%
104,Grandmaster,sup one#541,,805,156,128,54.9%
105,Grandmaster,Caffe#oxo,,803,69,43,61.6%
106,Grandmaster,Fa J#6115,,798,62,31,66.7%
107,Grandmaster,NoA#JP2,,788,94,75,55.6%
108,Grandmaster,Badao1102c#2302,,788,78,58,57.4%
109,Grandmaster,丘 丘#BDTH,,782,117,120,49.4%
110,Grandmaster,小祈jungle#11750,,777,77,57,57.5%
111,Grandmaster,loselinelosegame#999,,775,86,78,52.4%
112,Grandmaster,orobou#TTV,,773,191,173,52.5%
113,Grandmaster,IM HAPPY#ガーン,,768,86,76,53.1%
114,Grandmaster,黒服c#txy,,767,100,77,56.5%
115,Grandmaster,ディオブランドー#WRYYY,,766,93,71,56.7%
116,Grandmaster,ヴァスタヤのパスタ屋#UDON,,765,73,52,58.4%
117,Grandmaster,sucuranbul#magus,,759,92,84,52.3%
118,Grandmaster,Greed is Good#JP1,,758,85,76,52.8%
119,Grandmaster,0x7FFFFFFF#JP1,,754,193,160,54.7%
120,Grandmaster,FA J2#426,,753,92,51,64.3%
121,Grandmaster,hedonistic#JP1,,746,114,97,54.0%
122,Grandmaster,Ellin#0000,,746,78,57,57.8%
123,Grandmaster,La Cucaracha#iq135,,745,118,103,53.4%
124,Grandmaster,sad little taka#JP1,,744,89,77,53.6%
125,Grandmaster,伏黒甚爾#尊尼获加,,744,70,44,61.4%
126,Grandmaster,poesy#hope,,742,98,91,51.9%
127,Grandmaster,アカネ#JP7,,739,51,25,67.1%
128,Grandmaster,Bangha#TOP,,738,110,96,53.4%
129,Grandmaster,1vsAll#日新又日新,,738,54,39,58.1%
130,Grandmaster,はちちゃん#0909,,737,114,102,52.8%
131,Grandmaster,Sylar#EU1,,733,87,77,53.0%
132,Grandmaster,NickelHeart#JP1,,732,178,156,53.3%
133,Grandmaster,KillerCat#Killa,,727,110,91,54.7%
134,Grandmaster,ぽぽぽぽおーん#JP1,,727,93,78,54.4%
135,Grandmaster,JP ONANI KING#onani,,723,78,64,54.9%
136,Grandmaster,POTUS#PORO,,722,218,206,51.4%
137,Grandmaster,Minato aqua#ski,,722,79,20,79.8%
138,Grandmaster,CaptainTheGold#JP1,,719,107,102,51.2%
139,Grandmaster,sYuuus#JP1,,719,95,84,53.1%
