rank,tier,player,role,lp,wins,losses,win_rate
140,Grandmaster,네모네모#네모네모,,716,69,59,53.9%
141,Grandmaster,うつ病#悦宝悦宝,,712,75,65,53.6%
142,Grandmaster,十 DEMON TIME 十#end,,706,83,70,54.2%
143,Grandmaster,なかよく#しょw,,703,93,84,52.5%
144,Grandmaster,hinami#qfsmg,,701,68,48,58.6%
145,Grandmaster,Veritasin#Xeb,,697,76,48,61.3%
146,Grandmaster,あいな#0812,,695,90,72,55.6%
147,Grandmaster,ぎょねこ#魚猫9,,687,189,189,50.0%
148,Grandmaster,Kirby Air Riders#poyo,,666,142,133,51.6%
149,Grandmaster,林孝埈是韩国人#LIN X,,664,150,145,50.8%
150,Grandmaster,JoyBoy#oxo,,661,255,237,51.8%
