rank,tier,player,role,lp,wins,losses,win_rate
110,Grandmaster,,,785,176,142,55.3%
111,Grandmaster,,JUNGLE,783,72,54,57.1%
112,Grandmaster,,,778,80,60,57.1%
113,Grandmaster,,,777,114,103,52.5%
114,Grandmaster,,,775,312,307,50.4%
115,Grandmaster,,,772,88,67,56.8%
116,Grandmaster,,,770,180,156,53.6%
117,Grandmaster,,,769,80,68,54.1%
118,Grandmaster,,ADC,769,72,48,60.0%
119,Grandmaster,,,766,255,227,52.9%
120,Grandmaster,,,763,73,70,51.0%
121,Grandmaster,,,753,158,132,54.5%
122,Grandmaster,,,748,172,155,52.6%
123,Grandmaster,,,747,78,59,56.9%
124,Grandmaster,,,746,118,94,55.7%
125,Grandmaster,,,743,120,105,53.3%
126,Grandmaster,,,743,84,25,77.1%
127,Grandmaster,,,741,92,84,52.3%
128,Grandmaster,,,740,69,56,55.2%
129,Grandmaster,,MID,738,93,81,53.4%
130,Grandmaster,,,737,77,64,54.6%
131,Grandmaster,,,736,240,222,51.9%
132,Grandmaster,,,734,142,137,50.9%
133,Grandmaster,,,733,93,54,63.3%
134,Grandmaster,,,725,127,76,62.6%
135,Grandmaster,,,724,346,337,50.7%
136,Grandmaster,wataneko#JP1,,724,97,80,54.8%
137,Grandmaster,Terann#최기명팬,,723,87,79,52.4%
138,Grandmaster,ShaZam#0059,,722,74,58,56.1%
139,Grandmaster,一騎討#riven,MID,721,104,85,55.0%
140,Grandmaster,黒服c#txy,MID,720,108,87,55.4%
141,Grandmaster,十 DEMON TIME 十#end,,720,88,74,54.3%
142,Grandmaster,For Twice Sana#JP1,,717,53,28,65.4%
143,Grandmaster,ぎょねこ#魚猫9,,716,205,203,50.2%
144,Grandmaster,CaptainTheGold#JP1,,715,110,106,50.9%
145,Grandmaster,癒されたいかかし#8023,,715,85,59,59.0%
146,Grandmaster,永遠の愛#青いバラ,,712,59,28,67.8%
147,Grandmaster,貴方を不幸に誘いますね#ちょうだい,,708,67,35,65.7%
148,Grandmaster,NMIXX#RANK1,ADC,704,102,80,56.0%
149,Grandmaster,namazun#JP1,ADC,703,89,79,53.0%
150,Grandmaster,imp#irnp,,702,69,59,53.9%
