rank,tier,player,role,lp,wins,losses,win_rate
1,Challenger,AKALIKING#本体はゼド,MID,1634,109,64,63.0%
2,Challenger,senzawa#JP1,JUNGLE,1603,145,101,58.9%
3,Challenger,sign#520am,SUP,1544,200,127,61.2%
4,Challenger,鉄砲玉#JP1,TOP,1459,171,128,57.2%
5,Challenger,jisoo#bp777,TOP,1456,147,85,63.4%
6,Challenger,Mokurooo#NKG,ADC,1450,124,80,60.8%
7,Challenger,jpMVzC#1582,SUP,1386,181,96,65.3%
8,Challenger,伏魔御廚子#Gimi,ADC,1335,127,51,71.3%
9,Challenger,天才剑修#巧克力,SUP,1326,133,81,62.1%
10,Challenger,無愛想#可愛くない,TOP,1314,125,77,61.9%
11,Challenger,さくら#9090,MID,1305,175,132,57.0%
12,Challenger,ytzz#2426,TOP,1287,119,87,57.8%
13,Challenger,學無止境#Only,MID,1281,107,51,67.7%
14,Challenger,白鶴仙童#MYZZ,JUNGLE,1255,178,108,62.2%
15,Challenger,Ankochan#20y,JUNGLE,1244,114,80,58.8%
16,Challenger,Recap#125,MID,1237,215,169,56.0%
17,Challenger,akaros#そらか,SUP,1228,104,65,61.5%
18,Challenger,かなう#burin,TOP,1224,151,125,54.7%
19,Challenger,hetel fanboy#JP1,TOP,1223,205,130,61.2%
20,Challenger,BC EL#JP1,JUNGLE,1220,101,57,63.9%
21,Challenger,黄色のヨッシー#JP1,TOP,1217,146,114,56.2%
22,Challenger,I Am AtomiK#シャドウ,TOP,1203,236,213,52.6%
23,Challenger,ユズキ#宇  う,ADC,1199,114,34,77.0%
24,Challenger,RuneFactoryが大好きね#BlauR,ADC,1182,139,95,59.4%
25,Challenger,,JUNGLE,1179,194,193,50.1%
26,Challenger,,JUNGLE,1166,132,85,60.8%
27,Challenger,,ADC,1162,92,60,60.5%
28,Challenger,,JUNGLE,1158,197,159,55.3%
29,Challenger,,ADC,1157,182,159,53.4%
30,Challenger,,MID,1142,156,97,61.7%
31,Challenger,,SUP,1141,192,132,59.3%
32,Challenger,,SUP,1138,320,306,51.1%
33,Challenger,,ADC,1129,193,179,51.9%
34,Challenger,,MID,1118,141,99,58.8%
35,Challenger,,TOP,1118,84,55,60.4%
36,Challenger,,ADC,1116,127,99,56.2%
37,Challenger,,ADC,1113,223,145,60.6%
38,Challenger,,MID,1113,92,52,63.9%
39,Challenger,,TOP,1104,122,86,58.7%
40,Challenger,,JUNGLE,1104,120,107,52.9%
41,Grandmaster,,TOP,1100,160,112,58.8%
42,Challenger,,MID,1097,94,64,59.5%
43,Challenger,,JUNGLE,1096,116,54,68.2%
44,Challenger,,JUNGLE,1096,79,36,68.7%
45,Challenger,,ADC,1093,110,89,55.3%
46,Challenger,,MID,1089,141,112,55.7%
47,Challenger,,JUNGLE,1089,107,76,58.5%
48,Challenger,,ADC,1086,193,147,56.8%
49,Grandmaster,,SUP,1083,162,96,62.8%
50,Challenger,,SUP,1077,106,79,57.3%
51,Challenger,,ADC,1074,91,69,56.9%
52,Challenger,,JUNGLE,1073,231,199,53.7%
53,Grandmaster,,SUP,1071,211,177,54.4%
54,Grandmaster,,SUP,1065,110,77,58.8%
55,Grandmaster,,SUP,1065,102,67,60.4%
56,Grandmaster,,MID,1064,118,93,55.9%
57,Grandmaster,,ADC,1063,119,97,55.1%
58,Grandmaster,,JUNGLE,1057,202,143,58.6%
59,Grandmaster,,MID,1054,183,188,49.3%
60,Grandmaster,,SUP,1052,236,204,53.6%
61,Grandmaster,,SUP,1030,93,68,57.8%
62,Grandmaster,,TOP,1030,62,36,63.3%
63,Grandmaster,,SUP,1021,127,105,54.7%
64,Grandmaster,,MID,1014,148,108,57.8%
65,Grandmaster,,SUP,1012,226,210,51.8%
66,Grandmaster,,SUP,1007,110,82,57.3%
67,Grandmaster,,ADC,1001,137,118,53.7%
68,Grandmaster,,JUNGLE,991,211,186,53.1%
69,Grandmaster,,ADC,986,62,30,67.4%
70,Grandmaster,,ADC,984,106,89,54.4%
71,Grandmaster,,JUNGLE,984,67,22,75.3%
72,Grandmaster,,MID,976,205,185,52.6%
73,Grandmaster,,SUP,974,94,69,57.7%
74,Grandmaster,,ADC,971,108,91,54.3%
75,Grandmaster,sYuuus#JP1,TOP,970,124,102,54.9%
76,Grandmaster,GukBo#2004,MID,964,93,25,78.8%
77,Grandmaster,shottaka#JP1,TOP,961,100,82,54.9%
78,Grandmaster,Liam Gallagher#0812,TOP,959,132,113,53.9%
79,Grandmaster,ふぇにっち#2350,SUP,956,138,112,55.2%
