rank,tier,player,role,lp,wins,losses,win_rate
130,Grandmaster,スナギモ#JP1,,813,93,72,56.4%
131,Grandmaster,Lee#JP2,,813,62,43,59.0%
132,Grandmaster,Schwarz#neko,,811,202,173,53.9%
133,Grandmaster,アカネ#JP7,,810,59,32,64.8%
134,Grandmaster,sad little taka#JP1,MID,809,99,87,53.2%
135,Grandmaster,FA J2#426,,800,98,54,64.5%
136,Grandmaster,Bangha#TOP,,797,123,108,53.2%
137,Grandmaster,葳信dianayqc#PWdd,MID,794,107,91,54.0%
138,Grandmaster,青春禁止#JP1,JUNGLE,791,63,42,60.0%
139,Grandmaster,SPEED KING#すぴきん,,787,147,100,59.5%
140,Grandmaster,hinami#qfsmg,,783,83,60,58.0%
141,Grandmaster,CG Qoo#JP1,JUNGLE,783,72,54,57.1%
142,Grandmaster,永遠の愛#青いバラ,,780,66,36,64.7%
143,Grandmaster,was good day#JP1,,775,157,127,55.3%
144,Grandmaster,Scarlet#JP0,SUP,773,89,65,57.8%
145,Grandmaster,Jasper7se#CR1,,770,142,127,52.8%
146,Grandmaster,wataneko#JP1,,770,114,99,53.5%
147,Grandmaster,MayR#モーティス,ADC,765,102,91,52.8%
148,Grandmaster,LUNA ALBA LI XV#ALBUS,,764,119,96,55.3%
149,Grandmaster,manmaru20#5038,,745,120,77,60.9%
150,Grandmaster,PiNK#IDT,,713,65,50,56.5%
