rank,tier,player,role,lp,wins,losses,win_rate
1,Challenger,senzawa#JP1,JUNGLE,1686,149,105,58.7%
2,Challenger,AKALIKING#本体はゼド,MID,1670,112,68,62.2%
3,Challenger,さくら#9090,MID,1549,186,139,57.2%
4,Challenger,sign#520am,SUP,1544,200,127,61.2%
5,Challenger,天才剑修#巧克力,SUP,1529,139,81,63.2%
6,Challenger,Mokurooo#NKG,ADC,1517,128,86,59.8%
7,Challenger,jisoo#bp777,TOP,1485,148,85,63.5%
8,Challenger,伏魔御廚子#Gimi,ADC,1467,138,61,69.3%
9,Challenger,,TOP,1459,171,128,57.2%
10,Challenger,,SUP,1386,181,96,65.3%
11,Challenger,,MID,1369,220,172,56.1%
12,Challenger,,SUP,1325,107,66,61.8%
13,Challenger,,TOP,1314,125,77,61.9%
14,Challenger,,JUNGLE,1311,180,108,62.5%
15,Challenger,,JUNGLE,1287,116,81,58.9%
16,Challenger,,JUNGLE,1283,104,61,63.0%
17,Challenger,,MID,1281,107,51,67.7%
18,Challenger,,TOP,1264,149,117,56.0%
19,Challenger,,JUNGLE,1255,138,89,60.8%
20,Challenger,,MID,1245,106,29,78.5%
21,Challenger,,SUP,1244,325,309,51.3%
22,Challenger,,JUNGLE,1240,130,64,67.0%
23,Challenger,,TOP,1224,151,125,54.7%
24,Challenger,,TOP,1223,205,130,61.2%
25,Challenger,,TOP,1212,119,87,57.8%
26,Challenger,,TOP,1203,236,213,52.6%
27,Challenger,,ADC,1199,114,34,77.0%
28,Challenger,,ADC,1182,139,95,59.4%
29,Grandmaster,,JUNGLE,1166,83,39,68.0%
30,Challenger,,ADC,1157,194,180,51.9%
31,Challenger,,ADC,1157,95,71,57.2%
32,Challenger,,MID,1153,96,64,60.0%
33,Grandmaster,,JUNGLE,1152,218,188,53.7%
34,Challenger,,MID,1148,162,112,59.1%
35,Challenger,,MID,1144,120,93,56.3%
36,Challenger,,SUP,1141,192,132,59.3%
37,Challenger,,ADC,1141,113,91,55.4%
38,Challenger,,ADC,1137,225,149,60.2%
39,Challenger,,MID,1137,143,101,58.6%
40,Challenger,,JUNGLE,1132,197,161,55.0%
41,Grandmaster,,ADC,1129,113,91,55.4%
42,Challenger,,ADC,1126,128,100,56.1%
43,Challenger,,JUNGLE,1121,201,209,49.0%
44,Challenger,,TOP,1118,84,55,60.4%
45,Challenger,,JUNGLE,1117,233,200,53.8%
46,Challenger,,SUP,1116,114,82,58.2%
47,Challenger,,MID,1113,92,52,63.9%
48,Challenger,,SUP,1105,107,79,57.5%
49,Challenger,,TOP,1104,122,86,58.7%
50,Grandmaster,,TOP,1104,66,40,62.3%
51,Challenger,,SUP,1103,213,179,54.3%
52,Challenger,,MID,1103,142,113,55.7%
53,Challenger,,ADC,1096,184,167,52.4%
54,Grandmaster,,JUNGLE,1089,107,76,58.5%
55,Grandmaster,,ADC,1086,193,147,56.8%
56,Grandmaster,,SUP,1083,162,97,62.5%
57,Challenger,,JUNGLE,1076,122,113,51.9%
58,Grandmaster,,MID,1067,156,97,61.7%
59,Grandmaster,hetel#JP1,SUP,1065,102,67,60.4%
60,Grandmaster,潔世一#Majin,ADC,1065,94,70,57.3%
61,Grandmaster,I Am AtomiKSword#シャドウ,JUNGLE,1057,202,143,58.6%
62,Grandmaster,ShaZam#0059,SUP,1055,98,70,58.3%
63,Grandmaster,ShadowIsles0#JP1,SUP,1052,236,204,53.6%
64,Grandmaster,純 愛#1124,ADC,1050,119,98,54.8%
65,Grandmaster,フェルン#魔法師,MID,1048,120,100,54.5%
66,Grandmaster,しゅんた1106#JP1,MID,1040,185,194,48.8%
67,Grandmaster,泳ぎたいたい焼き#JP1,SUP,1030,93,68,57.8%
68,Grandmaster,セレニティ#JP2,SUP,1021,127,105,54.7%
69,Grandmaster,Chisa#1130,JUNGLE,1009,70,25,73.7%
70,Grandmaster,Liam Gallagher#0812,TOP,1007,135,115,54.0%
71,Grandmaster,てぃんとん#1017,SUP,1007,110,82,57.3%
72,Grandmaster,標的ヲ背ニシタ恋人たち#雪国小魔女,MID,1006,209,189,52.5%
73,Grandmaster,namazun#JP1,ADC,1003,110,92,54.5%
74,Grandmaster,773#ナナミ,ADC,986,62,30,67.4%
75,Grandmaster,まっちょ#5840,SUP,985,298,268,52.7%
76,Grandmaster,Clinch#JP2,SUP,983,226,213,51.5%
77,Grandmaster,Hide on spi#spi,MID,980,148,112,56.9%
78,Grandmaster,La pesca noce#Euw1,ADC,979,75,47,61.5%
79,Grandmaster,shottaka#JP1,TOP,971,105,89,54.1%
80,Grandmaster,sYuuus#JP1,TOP,970,124,102,54.9%
81,Grandmaster,7 9#JP1,TOP,968,227,192,54.2%
82,Grandmaster,orobou#TTV,TOP,963,288,267,51.9%
83,Grandmaster,豊川祥子ノ超超超超時空裁決喵#惹啊啊啊啊,ADC,959,137,121,53.1%
84,Grandmaster,ふぇにっち#2350,SUP,956,138,112,55.2%
85,Grandmaster,ShoeBlLL#tw2,MID,950,104,71,59.4%
86,Grandmaster,やなみあんな#負けヒロ,MID,948,213,183,53.8%
87,Grandmaster,CTRLME#77777,JUNGLE,938,177,147,54.6%
88,Grandmaster,夜の踊り子#SKNS,ADC,933,101,24,80.8%
89,Grandmaster,ωNαNαω#404ad,ADC,927,116,108,51.8%
90,Grandmaster,Milan#bb6,ADC,926,191,153,55.5%
91,Grandmaster,我要验牌#十JQKA,SUP,925,387,344,52.9%
92,Grandmaster,ジェンジーグローバルアカデミー#Foe,JUNGLE,923,92,32,74.2%
93,Grandmaster,Badao1102c#2302,JUNGLE,921,98,75,56.6%
94,Grandmaster,白雪ひな#JP16,MID,915,111,88,55.8%
95,Grandmaster,poppyking#1212,TOP,911,71,51,58.2%
96,Grandmaster,JP ONANI KING#onani,MID,910,89,69,56.3%
97,Grandmaster,ねすてぃー#7474,JUNGLE,905,188,172,52.2%
98,Grandmaster,尾中板井#JP1,SUP,905,113,85,57.1%
99,Grandmaster,本間心鈴#美しい虚無,JUNGLE,902,105,82,56.1%
100,Grandmaster,Minato aqua#ski,MID,899,100,36,73.5%
101,Grandmaster,4399赛尔号#奥特曼,TOP,898,134,119,53.0%
102,Grandmaster,Anh yêu em#vnadc,,898,68,63,51.9%
103,Grandmaster,ゆにか#1122,,896,88,74,54.3%
104,Grandmaster,ShoeBiLL#TTV2,MID,895,59,29,67.0%
105,Grandmaster,jisyoku#2864,,893,155,150,50.8%
106,Grandmaster,房产手机网卡加好友#888,MID,888,261,263,49.8%
107,Grandmaster,貴方を不幸に誘いますね#ちょうだい,,877,82,45,64.6%
108,Grandmaster,ももです#JP2,,872,181,161,52.9%
109,Grandmaster,Veritasin#Xeb,TOP,872,86,51,62.8%
110,Grandmaster,しゅわしゅわmid#JP1,,867,82,64,56.2%
111,Grandmaster,suzukamui#jp2,SUP,855,72,54,57.1%
112,Grandmaster,大小姐驾到#Molly,JUNGLE,851,134,92,59.3%
113,Grandmaster,Yuhi#045,ADC,847,128,127,50.2%
114,Grandmaster,リーグオブハゲ#JP1,ADC,846,58,36,61.7%
115,Grandmaster,黒服c#txy,MID,841,130,109,54.4%
116,Grandmaster,裏八寸#JP2,SUP,840,182,175,51.0%
117,Grandmaster,GOD of 笹村#ONZED,MID,840,97,88,52.4%
118,Grandmaster,ぎょねこ#魚猫9,,839,220,215,50.6%
119,Grandmaster,IM HAPPY#ガーン,,839,97,85,53.3%
120,Grandmaster,私の恋はホッチキス#また明日,MID,839,84,82,50.6%
121,Grandmaster,NickelHeart#JP1,,834,189,164,53.5%
122,Grandmaster,1vsAll#日新又日新,MID,827,61,45,57.5%
123,Grandmaster,チェゴヤ#0202,MID,825,164,117,58.4%
124,Grandmaster,べんとりっく#梔子ユメ,,824,170,178,48.9%
125,Grandmaster,uzume51#JP1,,820,161,145,52.6%
126,Grandmaster,Wsavh#JP1,JUNGLE,820,65,46,58.6%
127,Grandmaster,sigyn#1905,,819,205,178,53.5%
128,Grandmaster,NoA#JP2,,815,122,101,54.7%
129,Grandmaster,odessa1#JP132,,814,66,46,58.9%
