rank,tier,player,role,lp,wins,losses,win_rate
1,Challenger,さくら#9090,MID,1823,202,150,57.4%
2,Challenger,いい夢見てね#おやすみ,JUNGLE,1790,159,72,68.8%
3,Challenger,jisoo#bp777,ADC,1768,159,92,63.3%
4,Challenger,AKALIKING#本体はゼド,MID,1767,119,77,60.7%
5,Challenger,GukBo#2004,MID,1734,135,43,75.8%
6,Challenger,jpMVzC#1582,SUP,1730,198,108,64.7%
7,Challenger,sign#520am,SUP,1718,206,127,61.9%
8,Challenger,senzawa#JP1,JUNGLE,1718,152,110,58.0%
9,Challenger,天才剑修#巧克力,SUP,1678,155,102,60.3%
10,Challenger,伏魔御廚子#Gimi,ADC,1613,164,89,64.8%
11,Challenger,Mokurooo#NKG,ADC,1594,132,91,59.2%
12,Challenger,BC EL#JP1,JUNGLE,1549,121,74,62.1%
13,Challenger,鉄砲玉#JP1,TOP,1544,180,143,55.7%
14,Challenger,學無止境#Only,MID,1518,118,57,67.4%
15,Challenger,白鶴仙童#MYZZ,JUNGLE,1484,190,117,61.9%
16,Challenger,May#0823,JUNGLE,1477,234,228,50.6%
17,Challenger,グレイラースＹ#JP1,SUP,1466,343,325,51.3%
18,Challenger,黄色のヨッシー#JP1,TOP,1414,165,136,54.8%
19,Challenger,RuneFactoryが大好きね#BlauR,ADC,1368,148,100,59.7%
20,Challenger,I Am AtomiK#シャドウ,JUNGLE,1362,250,229,52.2%
21,Challenger,Clinch#JP2,SUP,1359,248,225,52.4%
22,Challenger,Recap#125,MID,1352,224,182,55.2%
23,Challenger,かなう#burin,TOP,1346,157,129,54.9%
24,Challenger,akaros#そらか,SUP,1343,111,75,59.7%
25,Challenger,Ankochan#20y,JUNGLE,1335,125,95,56.8%
26,Challenger,ONCE#JP1,JUNGLE,1321,149,102,59.4%
27,Challenger,無愛想#可愛くない,TOP,1314,125,77,61.9%
28,Challenger,Chisa#1130,JUNGLE,1307,91,41,68.9%
29,Challenger,負けない人生負けない気持ち#061i,ADC,1290,202,189,51.7%
30,Challenger,Veritasin#Xeb,TOP,1267,112,67,62.6%
31,Challenger,hourousummer#325,ADC,1260,118,93,55.9%
32,Challenger,Asuki#JP1,ADC,1240,198,181,52.2%
33,Challenger,Tele#JP1,ADC,1232,202,153,56.9%
34,Challenger,くるみかん#123,JUNGLE,1226,236,200,54.1%
35,Challenger,hetel fanboy#JP1,TOP,1223,205,130,61.2%
36,Challenger,Badao1102c#2302,JUNGLE,1213,119,92,56.4%
37,Challenger,びょんしんゲーミング#びょんしん,TOP,1207,72,46,61.0%
38,Challenger,Father of china#2302,MID,1200,150,148,50.3%
39,Challenger,ユズキ#宇  う,ADC,1199,114,34,77.0%
40,Challenger,しゅんた1106#JP1,MID,1193,193,199,49.2%
41,Challenger,raku#1205,ADC,1193,134,105,56.1%
42,Challenger,ytzz#2426,TOP,1192,123,89,58.0%
43,Challenger,aspire#JINBU,MID,1191,123,96,56.2%
44,Challenger,PiiP#7044,MID,1179,115,91,55.8%
45,Challenger,やなみあんな#負けヒロ,MID,1174,226,190,54.3%
46,Challenger,Eugeo#DCWIN,MID,1173,95,55,63.3%
47,Challenger,狛枝へビスケット#6245,MID,1172,163,112,59.3%
48,Challenger,La pesca noce#Euw1,JUNGLE,1171,86,56,60.6%
49,Challenger,Fa J#6115,JUNGLE,1166,83,39,68.0%
50,Challenger,always#inori,SUP,1161,109,79,58.0%
51,Grandmaster,Enty#ENTP1,SUP,1159,217,183,54.2%
52,Grandmaster,てぃんとん#1017,SUP,1157,120,91,56.9%
