rank,tier,player,role,lp,wins,losses,win_rate
40,Challenger,Fa J#6115,JUNGLE,1083,78,35,69.0%
41,Grandmaster,君を抱く希望の星#JP1,MID,1079,136,93,59.4%
42,Challenger,always#inori,SUP,1077,106,79,57.3%
43,Grandmaster,伏魔御廚子#Gimi,ADC,1077,116,49,70.3%
44,Challenger,鳥劇場浅草橋店#umai,ADC,1074,91,69,56.9%
45,Challenger,Hide on spi#spi,MID,1072,148,103,59.0%
46,Challenger,GraceEye#DMC神台,MID,1070,93,64,59.2%
47,Challenger,hetel#JP1,SUP,1065,102,67,60.4%
48,Challenger,純 愛#1124,ADC,1063,119,97,55.1%
49,Challenger,I Am AtomiKSword#シャドウ,JUNGLE,1057,202,143,58.6%
50,Challenger,ShadowIsles0#JP1,SUP,1052,236,204,53.6%
51,Challenger,必杀技#小凌宝,MID,1049,140,111,55.8%
52,Grandmaster,Clinch#JP2,SUP,1047,225,206,52.2%
53,Grandmaster,Father of china#2302,JUNGLE,1047,115,100,53.5%
54,Grandmaster,ブラキオサウルス#dino,TOP,1040,119,85,58.3%
55,Grandmaster,aspire#JINBU,MID,1039,117,93,55.7%
56,Grandmaster,最后一次恶鬼缠身#1002,SUP,1037,160,95,62.7%
57,Grandmaster,泳ぎたいたい焼き#JP1,SUP,1030,93,68,57.8%
58,Challenger,定风波#520,JUNGLE,1024,210,182,53.6%
59,Grandmaster,Philia#sama,SUP,1023,105,69,60.3%
60,Grandmaster,hourousummer#325,ADC,1023,104,83,55.6%
61,Grandmaster,PiiP#7044,ADC,1022,102,79,56.4%
62,Grandmaster,セレニティ#JP2,SUP,1021,127,105,54.7%
63,Grandmaster,てぃんとん#1017,SUP,1007,110,82,57.3%
64,Grandmaster,773#ナナミ,ADC,986,62,30,67.4%
65,Grandmaster,sYuuus#JP1,TOP,970,124,102,54.9%
66,Grandmaster,Liam Gallagher#0812,TOP,964,131,111,54.1%
67,Grandmaster,狛枝へビスケット#6245,TOP,956,150,106,58.6%
68,Grandmaster,ふぇにっち#2350,SUP,956,138,112,55.2%
69,Grandmaster,豊川祥子ノ超超超超時空裁決喵#惹啊啊啊啊,ADC,955,135,116,53.8%
70,Grandmaster,しゅんた1106#JP1,MID,940,178,186,48.9%
71,Grandmaster,ωNαNαω#404ad,ADC,940,116,107,52.0%
72,Grandmaster,Asuki#JP1,ADC,939,169,150,53.0%
73,Grandmaster,7 9#JP1,TOP,935,220,183,54.6%
74,Grandmaster,CTRLME#77777,JUNGLE,935,174,142,55.1%
75,Grandmaster,ShaZam#0059,SUP,929,90,66,57.7%
76,Grandmaster,La pesca noce#Euw1,ADC,928,69,39,63.9%
77,Grandmaster,,TOP,925,71,50,58.7%
78,Grandmaster,,MID,924,202,183,52.5%
79,Grandmaster,,MID,915,111,88,55.8%
80,Grandmaster,,SUP,909,176,161,52.2%
81,Grandmaster,,MID,907,92,85,52.0%
82,Grandmaster,,JUNGLE,905,188,172,52.2%
83,Grandmaster,,JUNGLE,902,105,82,56.1%
84,Grandmaster,,ADC,902,104,88,54.2%
85,Grandmaster,,MID,900,101,69,59.4%
86,Grandmaster,,JUNGLE,899,100,36,73.5%
87,Grandmaster,,TOP,898,134,119,53.0%
88,Grandmaster,,JUNGLE,890,106,48,68.8%
89,Grandmaster,,MID,888,261,263,49.8%
90,Grandmaster,,MID,886,160,107,59.9%
91,Grandmaster,,ADC,874,116,107,52.0%
92,Grandmaster,,SUP,872,71,51,58.2%
93,Grandmaster,,SUP,866,287,257,52.8%
94,Grandmaster,,JUNGLE,858,94,72,56.6%
95,Grandmaster,,JUNGLE,851,134,92,59.3%
96,Grandmaster,,ADC,846,58,36,61.7%
97,Grandmaster,,MID,845,57,28,67.1%
98,Grandmaster,,TOP,834,84,49,63.2%
99,Grandmaster,,MID,827,61,45,57.5%
100,Grandmaster,,SUP,822,381,340,52.8%
101,Grandmaster,,JUNGLE,820,65,46,58.6%
102,Grandmaster,,,815,91,78,53.8%
103,Grandmaster,,MID,814,107,91,54.0%
104,Grandmaster,,MID,814,86,69,55.5%
105,Grandmaster,,SUP,814,85,55,60.7%
106,Grandmaster,,,811,95,23,80.5%
107,Grandmaster,,MID,809,82,81,50.3%
108,Grandmaster,,,809,58,18,76.3%
109,Grandmaster,,,808,184,159,53.6%
110,Grandmaster,,,806,85,19,81.7%
111,Grandmaster,,,800,98,54,64.5%
112,Grandmaster,,,800,58,31,65.2%
113,Grandmaster,,,792,54,34,61.4%
114,Grandmaster,,JUNGLE,791,63,42,60.0%
115,Grandmaster,,ADC,786,101,88,53.4%
116,Grandmaster,,MID,785,197,171,53.5%
117,Grandmaster,,,784,166,174,48.8%
118,Grandmaster,,JUNGLE,783,72,54,57.1%
119,Grandmaster,,,781,94,84,52.8%
120,Grandmaster,,,780,185,151,55.1%
121,Grandmaster,,,777,80,65,55.2%
122,Grandmaster,,,776,91,71,56.2%
123,Grandmaster,,,772,274,258,51.5%
124,Grandmaster,,MID,772,124,102,54.9%
125,Grandmaster,,,769,110,60,64.7%
126,Grandmaster,GOD of 笹村#ONZED,MID,767,91,79,53.5%
127,Grandmaster,永遠の愛#青いバラ,,767,63,31,67.0%
128,Grandmaster,ewhfjbnwehjbhewf#ewfff,,762,81,61,57.0%
129,Grandmaster,For Twice Sana#JP1,,762,57,32,64.0%
130,Grandmaster,フェルン#魔法師,,761,106,93,53.3%
131,Grandmaster,Lee#JP2,,761,60,43,58.3%
132,Grandmaster,NoA#JP2,,759,119,100,54.3%
133,Grandmaster,loselinelosegame#999,JUNGLE,754,106,99,51.7%
134,Grandmaster,十 DEMON TIME 十#end,,752,92,78,54.1%
135,Grandmaster,ふわしゃり#JP1,,750,67,50,57.3%
136,Grandmaster,odessa1#JP132,,750,63,45,58.3%
137,Grandmaster,貴方を不幸に誘いますね#ちょうだい,,749,75,42,64.1%
138,Grandmaster,ももです#JP2,,748,172,155,52.6%
139,Grandmaster,しゅわしゅわmid#JP1,,747,76,62,55.1%
140,Grandmaster,LUNA ALBA LI XV#ALBUS,,746,118,94,55.7%
141,Grandmaster,ヴァスタヤのパスタ屋#UDON,MID,744,89,74,54.6%
142,Grandmaster,Bangha#TOP,,743,120,105,53.3%
143,Grandmaster,日本男模#txy,,742,157,142,52.5%
144,Grandmaster,chico#JP1,SUP,742,93,81,53.4%
145,Grandmaster,jisyoku#2864,,739,146,143,50.5%
146,Grandmaster,ぎょねこ#魚猫9,,736,214,211,50.4%
147,Grandmaster,was good day#JP1,,735,147,114,56.3%
148,Grandmaster,纯爱中单#Ekko,,733,368,360,50.5%
149,Grandmaster,yujin#0619,,732,59,24,71.1%
150,Grandmaster,エッチポップ#JP1,,731,102,87,54.0%
