rank,tier,player,role,lp,wins,losses,win_rate
1,Challenger,AKALIKING#本体はゼド,MID,1634,109,64,63.0%
2,Challenger,senzawa#JP1,JUNGLE,1588,144,101,58.8%
3,Challenger,鉄砲玉#JP1,TOP,1550,170,123,58.0%
4,Challenger,sign#520am,SUP,1544,200,127,61.2%
5,Challenger,Mokurooo#NKG,ADC,1450,124,80,60.8%
6,Challenger,jisoo#bp777,TOP,1438,146,85,63.2%
7,Challenger,jpMVzC#1582,SUP,1355,178,95,65.2%
8,Challenger,天才剑修#巧克力,SUP,1326,133,81,62.1%
9,Challenger,無愛想#可愛くない,TOP,1314,125,77,61.9%
10,Challenger,ytzz#2426,TOP,1287,119,87,57.8%
11,Challenger,學無止境#Only,MID,1281,107,51,67.7%
12,Challenger,白鶴仙童#MYZZ,JUNGLE,1255,178,108,62.2%
13,Challenger,hetel fanboy#JP1,TOP,1243,205,130,61.2%
14,Challenger,BC EL#JP1,JUNGLE,1243,100,55,64.5%
15,Challenger,黄色のヨッシー#JP1,TOP,1239,146,113,56.4%
16,Challenger,Recap#125,MID,1237,215,169,56.0%
17,Challenger,akaros#そらか,SUP,1228,104,65,61.5%
18,Challenger,天狐ハク#戀慕之情,MID,1217,156,97,61.7%
19,Challenger,さくら#9090,MID,1216,162,124,56.6%
20,Challenger,グレイラースＹ#JP1,SUP,1213,317,299,51.5%
21,Challenger,かなう#burin,TOP,1206,150,125,54.5%
22,Challenger,ユズキ#宇  う,ADC,1199,114,34,77.0%
23,Challenger,I Am AtomiK#シャドウ,TOP,1185,235,213,52.5%
24,Challenger,RuneFactoryが大好きね#BlauR,ADC,1182,139,95,59.4%
25,Challenger,ONCE#JP1,JUNGLE,1165,128,78,62.1%
26,Challenger,Dopaminw#OUI,JUNGLE,1145,194,157,55.3%
27,Challenger,TwitchShoDesu#よいしょ,SUP,1141,192,132,59.3%
28,Challenger,潔世一#Majin,ADC,1122,90,60,60.0%
29,Challenger,TopK1ng#mnt,TOP,1118,84,55,60.4%
30,Challenger,raku#1205,ADC,1116,123,92,57.2%
31,Challenger,ユーハイ#045,ADC,1113,223,145,60.6%
32,Challenger,Eugeo#DCWIN,MID,1113,92,52,63.9%
33,Challenger,負けない人生負けない気持ち#061i,ADC,1109,191,178,51.8%
34,Challenger,Enty#ENTP1,SUP,1108,209,171,55.0%
35,Challenger,May#0823,JUNGLE,1099,186,183,50.4%
36,Challenger,ねすてぃー#7777,JUNGLE,1089,107,76,58.5%
37,Challenger,くるみかん#123,JUNGLE,1087,231,198,53.8%
38,Challenger,Ankochan#20y,JUNGLE,1087,106,79,57.3%
39,Challenger,Tele#JP1,ADC,1086,193,147,56.8%
