rank,tier,player,role,lp,wins,losses,win_rate
1,Challenger,いい夢見てね#おやすみ,JUNGLE,1790,159,72,68.8%
2,Challenger,AKALIKING#本体はゼド,MID,1787,118,74,61.5%
3,Challenger,さくら#9090,MID,1783,199,148,57.3%
4,Challenger,jisoo#bp777,TOP,1742,158,92,63.2%
5,Challenger,天才剑修#巧克力,SUP,1711,151,94,61.6%
6,Challenger,senzawa#JP1,JUNGLE,1696,151,108,58.3%
7,Challenger,jpMVzC#1582,SUP,1636,192,103,65.1%
8,Challenger,伏魔御廚子#Gimi,ADC,1616,155,77,66.8%
9,Challenger,sign#520am,SUP,1604,202,127,61.4%
10,Challenger,Mokurooo#NKG,ADC,1594,132,91,59.2%
11,Challenger,GukBo#2004,MID,1536,123,37,76.9%
12,Challenger,白鶴仙童#MYZZ,JUNGLE,1491,188,113,62.5%
13,Challenger,グレイラースＹ#JP1,SUP,1475,339,318,51.6%
14,Challenger,學無止境#Only,MID,1467,115,54,68.0%
15,Challenger,鉄砲玉#JP1,TOP,1457,174,136,56.1%
16,Challenger,BC EL#JP1,JUNGLE,1407,113,69,62.1%
17,Challenger,I Am AtomiK#シャドウ,TOP,1386,249,225,52.5%
18,Challenger,akaros#そらか,SUP,1358,111,74,60.0%
19,Challenger,Recap#125,MID,1352,224,182,55.2%
20,Challenger,Ankochan#20y,JUNGLE,1324,121,89,57.6%
21,Challenger,無愛想#可愛くない,TOP,1314,125,77,61.9%
22,Challenger,May#0823,JUNGLE,1303,222,224,49.8%
23,Challenger,黄色のヨッシー#JP1,TOP,1299,157,131,54.5%
24,Challenger,かなう#burin,TOP,1293,155,128,54.8%
25,Challenger,ONCE#JP1,JUNGLE,1293,145,97,59.9%
26,Grandmaster,Veritasin#Xeb,TOP,1265,111,67,62.4%
27,Challenger,hourousummer#325,ADC,1251,117,92,56.0%
28,Challenger,Clinch#JP2,SUP,1249,241,221,52.2%
29,Challenger,負けない人生負けない気持ち#061i,ADC,1229,199,186,51.7%
30,Challenger,hetel fanboy#JP1,TOP,1223,205,130,61.2%
31,Challenger,RuneFactoryが大好きね#BlauR,ADC,1215,141,97,59.2%
32,Challenger,ユズキ#宇  う,ADC,1199,114,34,77.0%
33,Challenger,びょんしんゲーミング#びょんしん,TOP,1197,71,45,61.2%
34,Grandmaster,raku#1205,ADC,1193,134,105,56.1%
35,Challenger,Badao1102c#2302,JUNGLE,1173,112,83,57.4%
36,Challenger,Eugeo#DCWIN,MID,1173,95,55,63.3%
37,Challenger,Asuki#JP1,ADC,1170,195,180,52.0%
38,Challenger,ytzz#2426,TOP,1167,120,87,58.0%
39,Challenger,Fa J#6115,JUNGLE,1166,83,39,68.0%
40,Challenger,always#inori,SUP,1161,109,79,58.0%
41,Challenger,てぃんとん#1017,SUP,1157,120,91,56.9%
42,Challenger,鳥劇場浅草橋店#umai,ADC,1157,95,71,57.2%
43,Grandmaster,Tele#JP1,ADC,1157,199,153,56.5%
44,Grandmaster,しゅんた1106#JP1,MID,1157,190,196,49.2%
45,Challenger,PiiP#7044,ADC,1154,114,91,55.6%
46,Challenger,GraceEye#DMC神台,MID,1153,96,64,60.0%
47,Challenger,やなみあんな#負けヒロ,MID,1149,224,187,54.5%
48,Challenger,狛枝へビスケット#6245,MID,1148,162,112,59.1%
49,Grandmaster,Chisa#1130,JUNGLE,1145,81,36,69.2%
50,Challenger,TwitchShoDesu#よいしょ,SUP,1141,192,132,59.3%
51,Challenger,aspire#JINBU,MID,1141,121,96,55.8%
52,Challenger,I Am AtomiKSword#シャドウ,JUNGLE,1140,206,146,58.5%
53,Challenger,君を抱く希望の星#JP1,MID,1137,143,101,58.6%
54,Challenger,Dopaminw#OUI,JUNGLE,1132,197,161,55.0%
55,Grandmaster,ユーハイ#045,ADC,1123,225,150,60.0%
56,Grandmaster,TopK1ng#mnt,TOP,1118,84,55,60.4%
57,Grandmaster,くるみかん#123,JUNGLE,1117,233,200,53.8%
58,Grandmaster,Philia#sama,SUP,1116,114,82,58.2%
59,Grandmaster,Father of china#2302,JUNGLE,1110,141,139,50.4%
60,Grandmaster,ねすてぃー#7777,JUNGLE,1106,108,78,58.1%
61,Challenger,潔世一#Majin,ADC,1105,97,73,57.1%
62,Grandmaster,ブラキオサウルス#dino,TOP,1104,122,86,58.7%
63,Grandmaster,Enty#ENTP1,SUP,1103,213,179,54.3%
64,Grandmaster,ももです#JP2,JUNGLE,1098,191,162,54.1%
65,Grandmaster,ぴょんしんゲーミング#ぴょんLん,JUNGLE,1090,189,190,49.9%
66,Grandmaster,最后一次恶鬼缠身#1002,SUP,1083,162,97,62.5%
67,Grandmaster,フェルン#魔法師,MID,1080,124,105,54.1%
68,Grandmaster,hetel#JP1,SUP,1065,102,67,60.4%
69,Grandmaster,ゆにか#1122,JUNGLE,1064,95,76,55.6%
70,Grandmaster,必杀技#小凌宝,MID,1060,143,118,54.8%
71,Grandmaster,ShadowIsles0#JP1,SUP,1052,236,204,53.6%
72,Grandmaster,純 愛#1124,ADC,1050,119,98,54.8%
73,Grandmaster,CTRLME#77777,JUNGLE,1048,184,150,55.1%
74,Grandmaster,ふぇにっち#2350,SUP,1047,142,115,55.3%
75,Grandmaster,泳ぎたいたい焼き#JP1,SUP,1046,95,72,56.9%
76,Grandmaster,定风波#520,JUNGLE,1036,219,198,52.5%
77,Grandmaster,ねすてぃー#7474,JUNGLE,1036,199,186,51.7%
78,Grandmaster,7 9#JP1,TOP,1032,233,197,54.2%
79,Grandmaster,namazun#JP1,ADC,1027,111,92,54.7%
80,Grandmaster,セレニティ#JP2,SUP,1021,127,105,54.7%
81,Grandmaster,ShaZam#0059,SUP,1020,100,76,56.8%
82,Grandmaster,我要验牌#十JQKA,SUP,1011,403,362,52.7%
83,Grandmaster,Hide on spi#spi,MID,1001,156,125,55.5%
84,Grandmaster,La pesca noce#Euw1,ADC,998,79,53,59.8%
85,Grandmaster,リーグオブハゲ#JP1,ADC,997,64,41,61.0%
86,Grandmaster,ShoeBlLL#tw2,MID,986,106,73,59.2%
87,Grandmaster,,ADC,982,204,169,54.7%
88,Grandmaster,,SUP,982,119,88,57.5%
89,Grandmaster,,ADC,981,103,24,81.1%
90,Grandmaster,,ADC,977,73,53,57.9%
91,Grandmaster,,TOP,972,136,119,53.3%
92,Grandmaster,,JUNGLE,971,94,32,74.6%
93,Grandmaster,,TOP,970,124,102,54.9%
94,Grandmaster,,JUNGLE,967,211,176,54.5%
95,Grandmaster,,MID,967,91,70,56.5%
96,Grandmaster,,JUNGLE,954,218,190,53.4%
97,Grandmaster,,TOP,941,106,93,53.3%
98,Grandmaster,,MID,940,215,201,51.7%
99,Grandmaster,,ADC,938,72,67,51.8%
100,Grandmaster,,JUNGLE,930,107,85,55.7%
101,Grandmaster,,ADC,927,116,108,51.8%
102,Grandmaster,,MID,925,60,29,67.4%
103,Grandmaster,,MID,917,156,97,61.7%
104,Grandmaster,,,917,85,47,64.4%
105,Grandmaster,,MID,915,111,88,55.8%
106,Grandmaster,,ADC,911,62,30,67.4%
107,Grandmaster,,,909,377,364,50.9%
108,Grandmaster,,TOP,909,300,286,51.2%
109,Grandmaster,,,908,278,235,54.2%
110,Grandmaster,,ADC,899,137,125,52.3%
111,Grandmaster,,MID,899,100,36,73.5%
112,Grandmaster,,,898,133,125,51.6%
113,Grandmaster,,TOP,898,71,52,57.7%
114,Grandmaster,,,894,84,68,55.3%
115,Grandmaster,,ADC,892,137,137,50.0%
116,Grandmaster,,SUP,892,74,55,57.4%
117,Grandmaster,,SUP,890,187,179,51.1%
118,Grandmaster,,MID,887,86,82,51.2%
119,Grandmaster,,JUNGLE,882,110,99,52.6%
120,Grandmaster,,,874,62,33,65.3%
121,Grandmaster,,MID,873,166,117,58.7%
122,Grandmaster,,,873,163,163,50.0%
123,Grandmaster,,,872,222,216,50.7%
124,Grandmaster,,MID,872,101,92,52.3%
125,Grandmaster,,MID,869,262,265,49.7%
126,Grandmaster,,,869,131,111,54.1%
127,Grandmaster,,,861,128,113,53.1%
128,Grandmaster,,,860,194,171,53.2%
129,Grandmaster,,,858,100,81,55.2%
130,Grandmaster,,MID,856,135,116,53.8%
131,Grandmaster,,JUNGLE,851,134,92,59.3%
132,Grandmaster,,,839,241,223,51.9%
133,Grandmaster,,,839,97,86,53.0%
134,Grandmaster,,,834,182,175,51.0%
135,Grandmaster,くむお#JP1,,829,185,178,51.0%
136,Grandmaster,BURNING UP FOR U#08sup,,825,114,89,56.2%
137,Grandmaster,4399赛尔号#奥特曼,TOP,823,134,119,53.0%
138,Grandmaster,Ayezen#JP1,,820,115,100,53.5%
139,Grandmaster,月 姫#xxx,,819,95,75,55.9%
140,Grandmaster,Scarlet#JP0,SUP,819,92,68,57.5%
141,Grandmaster,Wsavh#JP1,JUNGLE,819,66,48,57.9%
142,Grandmaster,OTVA#jp2,,818,141,116,54.9%
143,Grandmaster,スナギモ#JP1,,817,98,78,55.7%
144,Grandmaster,gaman#7897,JUNGLE,816,157,156,50.2%
145,Grandmaster,odessa1#JP132,,814,66,46,58.9%
146,Grandmaster,sad little taka#JP1,MID,809,99,87,53.2%
147,Grandmaster,uzume51#JP1,,803,163,149,52.2%
148,Grandmaster,Stellary#1122,,790,66,43,60.6%
149,Grandmaster,十 DEMON TIME 十#end,,781,99,88,52.9%
150,Grandmaster,was good day#JP1,,753,167,141,54.2%
