rank,tier,player,role,lp,wins,losses,win_rate
1,Challenger,senzawa#JP1,JUNGLE,2020,172,123,58.3%
2,Challenger,AKALIKING#本体はゼド,MID,2013,130,83,61.0%
3,Challenger,さくら#9090,MID,1969,221,168,56.8%
4,Challenger,GukBo#2004,MID,1904,162,66,71.1%
5,Challenger,sign#520am,SUP,1843,213,134,61.4%
6,Challenger,いい夢見てね#おやすみ,JUNGLE,1790,159,72,68.8%
7,Challenger,May#0823,JUNGLE,1786,270,254,51.5%
8,Challenger,鉄砲玉#JP1,TOP,1749,189,148,56.1%
9,Challenger,jisoo#bp777,ADC,1744,161,97,62.4%
10,Challenger,Mokurooo#NKG,ADC,1738,142,107,57.0%
11,Challenger,伏魔御廚子#Gimi,ADC,1687,191,111,63.2%
12,Challenger,天才剑修#巧克力,SUP,1686,167,116,59.0%
13,Challenger,jpMVzC#1582,SUP,1682,206,122,62.8%
14,Challenger,Chisa#1130,JUNGLE,1650,125,63,66.5%
15,Challenger,學無止境#Only,MID,1639,127,68,65.1%
16,Challenger,BC EL#JP1,JUNGLE,1574,132,88,60.0%
17,Challenger,RuneFactoryが大好きね#BlauR,ADC,1525,157,107,59.5%
18,Challenger,Recap#125,MID,1511,258,216,54.4%
19,Challenger,かなう#burin,TOP,1506,165,132,55.6%
20,Challenger,黄色のヨッシー#JP1,TOP,1490,177,150,54.1%
21,Challenger,グレイラースＹ#JP1,SUP,1460,360,349,50.8%
22,Challenger,Ankochan#20y,JUNGLE,1454,134,102,56.8%
23,Challenger,白鶴仙童#MYZZ,JUNGLE,1449,191,121,61.2%
24,Challenger,ytzz#2426,TOP,1422,132,93,58.7%
25,Challenger,ONCE#JP1,JUNGLE,1396,165,118,58.3%
26,Challenger,無愛想#可愛くない,TOP,1351,127,80,61.4%
27,Challenger,I Am AtomiK#シャドウ,JUNGLE,1338,254,236,51.8%
28,Challenger,hetel fanboy#JP1,TOP,1324,212,136,60.9%
29,Challenger,狛枝へビスケット#6245,MID,1324,174,119,59.4%
30,Challenger,くるみかん#123,JUNGLE,1318,240,201,54.4%
31,Challenger,ユズキ#宇  う,ADC,1316,125,47,72.7%
32,Challenger,Clinch#JP2,SUP,1312,267,254,51.2%
33,Challenger,akaros#そらか,SUP,1312,115,84,57.8%
34,Challenger,ゆにか#1122,JUNGLE,1312,109,85,56.2%
35,Challenger,always#inori,SUP,1304,118,86,57.8%
36,Challenger,鳥劇場浅草橋店#umai,ADC,1301,102,74,58.0%
37,Challenger,Enty#ENTP1,SUP,1300,224,186,54.6%
38,Challenger,Fa J#6115,JUNGLE,1300,91,46,66.4%
39,Challenger,Father of china#2302,MID,1294,166,160,50.9%
40,Challenger,aspire#JINBU,MID,1290,129,100,56.3%
41,Challenger,ねすてぃー#7777,JUNGLE,1289,116,85,57.7%
42,Grandmaster,GraceEye#DMC神台,TOP,1289,102,66,60.7%
43,Challenger,TopK1ng#mnt,TOP,1288,93,61,60.4%
44,Challenger,しゅんた1106#JP1,MID,1286,207,213,49.3%
45,Challenger,Badao1102c#2302,JUNGLE,1282,124,95,56.6%
46,Challenger,rehcra#xxxx,ADC,1272,94,13,87.9%
47,Challenger,La pesca noce#Euw1,JUNGLE,1268,94,63,59.9%
48,Challenger,Pheonix#VG45,TOP,1267,135,85,61.4%
49,Challenger,Veritasin#Xeb,TOP,1267,112,67,62.6%
50,Challenger,sYuuus#JP1,TOP,1266,139,113,55.2%
51,Challenger,びょんしんゲーミング#びょんしん,TOP,1262,76,49,60.8%
52,Grandmaster,hourousummer#325,ADC,1260,118,93,55.9%
53,Grandmaster,raku#1205,ADC,1259,141,111,56.0%
54,Grandmaster,ShaZam#0059,SUP,1229,114,83,57.9%
