rank,tier,player,role,lp,wins,losses,win_rate
1,Challenger,伏魔御廚子#Gimi,ADC,2133,260,158,62.2%
2,Challenger,GukBo#2004,MID,2126,178,72,71.2%
3,Challenger,さくら#9090,MID,2057,230,176,56.7%
4,Challenger,senzawa#JP1,JUNGLE,2031,179,131,57.7%
5,Challenger,sign#520am,SUP,2026,224,140,61.5%
6,Challenger,AKALIKING#本体はゼド,MID,1973,138,93,59.7%
7,Challenger,天才剑修#巧克力,JUNGLE,1916,196,139,58.5%
8,Challenger,鉄砲玉#JP1,TOP,1860,197,153,56.3%
9,Challenger,いい夢見てね#おやすみ,JUNGLE,1810,161,72,69.1%
10,Challenger,Mokurooo#NKG,MID,1794,146,111,56.8%
11,Challenger,BC EL#JP1,JUNGLE,1768,155,107,59.2%
12,Challenger,Chisa#1130,JUNGLE,1752,159,96,62.4%
13,Challenger,jisoo#bp777,ADC,1733,163,101,61.7%
14,Challenger,jpMVzC#1582,SUP,1692,215,135,61.4%
15,Challenger,學無止境#Only,JUNGLE,1629,136,80,63.0%
16,Challenger,RuneFactoryが大好きね#BlauR,ADC,1614,162,112,59.1%
17,Challenger,黄色のヨッシー#JP1,TOP,1613,186,154,54.7%
18,Challenger,白鶴仙童#MYZZ,JUNGLE,1602,211,141,59.9%
19,Challenger,raku#1205,ADC,1568,164,123,57.1%
20,Challenger,May#0823,JUNGLE,1555,329,321,50.6%
21,Challenger,Recap#125,MID,1547,275,236,53.8%
22,Challenger,hetel fanboy#JP1,TOP,1532,233,157,59.7%
23,Challenger,かなう#burin,TOP,1526,170,141,54.7%
24,Challenger,ytzz#2426,TOP,1525,138,102,57.5%
25,Challenger,Ankochan#20y,JUNGLE,1523,140,107,56.7%
26,Challenger,TopK1ng#mnt,TOP,1501,103,65,61.3%
27,Challenger,ONCE#JP1,JUNGLE,1450,172,124,58.1%
28,Challenger,ねすてぃー#7474,JUNGLE,1447,226,200,53.1%
29,Challenger,Pheonix#VG45,TOP,1435,173,115,60.1%
